match,PSW,win0,confidence0,date
30206,1.52,0,1.6937509819865229,2019-02-05
37412,2.59,1,1.6880616881847381,2022-05-12
34114,1.69,0,1.6873266792297361,2021-02-23
37898,1.63,0,1.6854620433705194,2022-07-08
35175,1.53,0,1.6850301347672938,2021-06-22
31063,1.72,0,1.6810109863962446,2019-05-17
34790,2.47,1,1.6803429441154005,2021-05-11
38400,2.66,1,1.6792216457923255,2022-08-31
32989,1.58,0,1.6784344750642775,2020-02-23
27691,1.53,0,1.6766107785701752,2017-05-02
31388,1.53,0,1.67435351729393,2019-06-25
38803,1.71,0,1.6718480777740479,2022-10-25
38176,1.68,0,1.6709094171524046,2022-08-09
30545,1.52,0,1.6707460041046143,2019-03-08
35655,2.77,1,1.6701791134476662,2021-08-17
32885,2.66,1,1.6695008215308191,2020-02-14
38796,1.45,0,1.6684151896089316,2022-10-25
38564,2.37,1,1.6680027574300766,2022-09-29
30681,1.55,0,1.6638344715535638,2019-03-23
27492,2.45,1,1.6620356619358065,2017-04-12
38268,1.45,0,1.6612069090604784,2022-08-19
33669,2.55,1,1.6605108596384524,2020-10-28
38694,1.52,0,1.65863862156868,2022-10-14
32255,1.63,0,1.6579256798823676,2019-10-04
36744,2.34,1,1.6559456057207924,2022-02-16
30339,2.89,1,1.6557488614320754,2019-02-16
34665,1.53,0,1.6525915384292598,2021-04-26
27759,1.43,0,1.6506277072429656,2017-05-09
38115,1.61,0,1.6502671939986093,2022-08-03
26835,1.72,0,1.650188997387886,2017-01-16
39007,2.58,1,1.6496683583940779,2023-01-11
30167,1.63,0,1.645549282550812,2019-01-19
31819,1.56,0,1.6422285427649816,2019-08-05
36903,1.58,0,1.6421226823329922,2022-03-11
32992,2.51,1,1.6415754175186155,2020-02-24
33821,2.76,1,1.6363028079271311,2021-01-09
31101,1.54,0,1.6347274017333984,2019-05-22
30531,1.6,0,1.6311497834324833,2019-03-07
35721,1.51,0,1.6277677893638611,2021-08-24
32743,2.44,1,1.6245450463294984,2020-02-03
28669,2.32,1,1.6235900676250457,2017-08-15
39292,2.46,1,1.621915922846113,2023-02-16
29982,1.56,0,1.6207980608940127,2019-01-03
27283,1.53,0,1.6166495985388756,2017-03-05
36780,1.61,0,1.6158912191788355,2022-02-19
31593,1.69,0,1.6127838715910912,2019-07-17
39315,2.72,1,1.6103022360801698,2023-02-18
36783,2.64,1,1.608861303329468,2022-02-19
38293,1.5,0,1.6053925063461065,2022-08-23
35895,1.5,0,1.604669508934021,2021-09-22
36906,1.45,0,1.6025872157514098,2022-03-12
31318,1.4,0,1.6025017820298673,2019-06-18
27221,2.64,1,1.6019392669200898,2017-02-28
34740,1.64,0,1.6015558126568794,2021-05-04
35488,2.75,1,1.6008512303233147,2021-07-24
36211,1.76,0,1.5992869756221773,2021-11-02
35158,1.6,0,1.5990867233276367,2021-06-21
27629,2.73,1,1.5989206759929657,2017-04-26
33848,1.6,0,1.5982425317168234,2021-01-12
31147,1.53,0,1.5979538358002903,2019-05-27
33059,2.21,1,1.5917225225269793,2020-02-27
34466,1.56,0,1.590416218340397,2021-03-30
35429,1.59,0,1.5873260796070099,2021-07-20
28356,2.79,1,1.5863210966438055,2017-07-18
37427,1.52,0,1.5847025021910668,2022-05-16
31094,1.47,0,1.5846886855363844,2019-05-21
36281,3.09,1,1.5840478596836327,2021-11-20
27617,1.61,0,1.584036332130432,2017-04-25
36512,1.61,0,1.5817925137707165,2022-01-25
37977,1.56,0,1.581596041023731,2022-07-19
39394,1.36,0,1.5789798554033039,2023-02-24
37238,1.55,0,1.578922883570194,2022-04-22
33566,1.51,0,1.5788584563136099,2020-10-16
32185,2.5,1,1.578402817249298,2019-09-26
32180,1.55,0,1.5774474177360536,2019-09-26
37138,1.53,0,1.577373627901077,2022-04-11
28442,2.55,1,1.5766027817130088,2017-07-26
30952,1.56,0,1.576286830306053,2019-05-04
36339,2.33,1,1.573398175239563,2022-01-10
31821,1.38,0,1.5707158277034758,2019-08-05
33682,2.6,1,1.5691688686609269,2020-10-29
36580,1.68,0,1.5670751613378524,2022-02-04
31058,2.43,1,1.5647454225591255,2019-05-16
38605,1.65,0,1.5636771090825397,2022-10-04
33178,1.6,0,1.5636607092618944,2020-09-01
33005,2.77,1,1.5628990278393031,2020-02-25
36654,1.71,0,1.5626693260669706,2022-02-10
34329,1.64,0,1.5600057899951936,2021-03-16
37942,1.61,0,1.5591648471355437,2022-07-15
33263,2.31,1,1.558005580455065,2020-09-09
29002,1.71,0,1.5548643112182619,2017-10-03
33633,1.65,0,1.5545952701568604,2020-10-24
27404,1.51,0,1.554503902494907,2017-03-23
37287,1.68,0,1.5532513689994811,2022-04-27
32290,1.57,0,1.5523872439066568,2019-10-08
30741,1.42,0,1.5521768515557048,2019-04-09
36643,1.67,0,1.5516006511449814,2022-02-09
36272,1.6,0,1.551542276740074,2021-11-16
31965,1.66,0,1.550850749015808,2019-08-23
29699,2.35,1,1.5501637542247773,2018-02-14
36560,2.88,1,1.5492813491821291,2022-02-02
33039,1.63,0,1.5472583832740783,2020-02-26
