match,PSW,win0,confidence0,date,winner,
44371,1.21,1,1.005752581,7/3/2017,Seppi A.,0.21
44536,1.23,1,1.005740767,7/20/2017,Fognini F.,0.23
49870,1.23,1,1.005737164,7/29/2019,Tsonga J.W.,0.23
47335,2.11,1,1.005719275,8/2/2018,Jarry N.,1.11
46193,2.34,0,1.005718346,3/23/2018,Youzhny M.,-1
55943,4.88,0,1.005714967,6/28/2022,Berankis R.,-1
52194,4.1,0,1.005680433,2/11/2021,Lopez F.,-1
42916,2.65,0,1.005667668,1/6/2017,Sela D.,-1
47129,1.39,1,1.005658769,7/17/2018,Verdasco F.,0.39
44854,1.3,1,1.005628438,8/18/2017,Dimitrov G.,0.3
53699,1.36,1,1.00562665,8/4/2021,Opelka R.,0.36
55668,1.14,1,1.00561269,5/26/2022,Rublev A.,0.14
57064,1.85,0,1.005595954,1/5/2023,Korda S.,-1
54849,2.31,0,1.005586564,2/16/2022,Rinderknech A.,-1
48489,5.68,0,1.005584181,2/15/2019,Jung J.,-1
47141,1.57,1,1.00554162,7/18/2018,Lajovic D.,0.57
42970,1.52,1,1.005541443,1/11/2017,Baghdatis M.,0.52
52400,1.1,1,1.005537556,3/10/2021,Rublev A.,0.1
55561,2.34,0,1.005506127,5/17/2022,Kokkinakis T.,-1
46845,1.42,1,1.005502163,6/14/2018,Kyrgios N.,0.42
50131,1.9,1,1.005486413,8/26/2019,Carreno Busta P.,0.9
44631,1.26,1,1.005485326,7/28/2017,Harrison R.,0.26
54745,2.06,0,1.005478207,2/8/2022,Monteiro T.,-1
43500,1.24,1,1.005474999,3/12/2017,Nishikori K.,0.24
48132,1.22,1,1.005443034,1/2/2019,Raonic M.,0.22
49314,1.52,1,1.005418824,5/27/2019,Moutet C.,0.52
51022,1.51,1,1.005385324,2/14/2020,Auger-Aliassime F.,0.51
44627,1.18,1,1.005335642,7/28/2017,Muller G.,0.18
55830,2.69,0,1.005315801,6/19/2022,Hurkacz H.,-1
57061,1.27,1,1.005312088,1/5/2023,Sinner J.,0.27
51257,2.34,0,1.005278173,8/25/2020,Opelka R.,-1
50684,1.31,1,1.005256064,1/7/2020,Kukushkin M.,0.31
55855,2.49,0,1.005244913,6/22/2022,Altmaier D.,-1
50979,1.33,1,1.00523605,2/11/2020,Rublev A.,0.33
48235,1.24,1,1.005187575,1/14/2019,Basilashvili N.,0.24
47066,1.65,1,1.005169176,7/5/2018,Tsitsipas S.,0.65
43943,6,0,1.005145447,5/11/2017,Coric B.,-1
43229,1.21,1,1.005127318,2/15/2017,Carreno Busta P.,0.21
53315,1.75,1,1.005118236,6/23/2021,Carreno Busta P.,0.75
53087,2.41,0,1.005113006,5/30/2021,Laaksonen H.,-1
52925,1.12,1,1.005079746,5/11/2021,Djokovic N.,0.12
56875,2.06,0,1.005076501,10/21/2022,Ruusuvuori E.,-1
50364,1.13,1,1.005062197,9/30/2019,Evans D.,0.13
53940,1.12,1,1.005047588,9/1/2021,Auger-Aliassime F.,0.12
56210,1.54,1,1.005011276,8/1/2022,Popyrin A.,0.54
47466,1.41,1,1.004936716,8/17/2018,Djokovic N.,0.41
45229,1.46,1,1.004921637,10/10/2017,Harrison R.,0.46
57004,1.35,1,1.004893064,11/14/2022,Djokovic N.,0.35
48597,1.33,1,1.004865386,2/25/2019,Garin C.,0.33
44378,6.02,0,1.004860659,7/3/2017,Herbert P.H.,-1
55031,1.42,1,1.004806857,3/12/2022,Van De Zandschulp B.,0.42
56718,2.03,0,1.004765428,10/5/2022,Kecmanovic M.,-1
46698,2.8,0,1.004751665,5/27/2018,Donaldson J.,-1
50286,3.16,0,1.004688971,9/19/2019,Sousa J.,-1
52674,1.69,1,1.004659615,4/12/2021,Davidovich Fokina A.,0.69
48880,2.35,0,1.004653187,4/8/2019,Harrison R.,-1
52651,1.8,1,1.004645805,4/8/2021,Munar J.,0.8
53834,3.52,0,1.004638427,8/23/2021,Watanuki Y.,-1
47263,1.22,1,1.004637229,7/28/2018,Isner J.,0.22
53579,2.6,0,1.004615318,7/21/2021,Escobedo E.,-1
46138,1.46,1,1.004610829,3/13/2018,Mayer L.,0.46
53017,5.86,0,1.0046108,5/23/2021,Krstin P.,-1
45437,3.1,0,1.004591515,11/2/2017,Isner J.,-1
52066,2.14,0,1.004589765,2/3/2021,Vilella Martinez M.,-1
54880,1.34,1,1.004580841,2/18/2022,Berrettini M.,0.34
49800,1.77,1,1.004576443,7/23/2019,Istomin D.,0.77
53456,1.32,1,1.004515475,7/5/2021,Federer R.,0.32
55095,1.39,1,1.004498249,3/23/2022,Mcdonald M.,0.39
48041,1.65,1,1.004496701,10/31/2018,Schwartzman D.,0.65
52193,1.06,1,1.00449582,2/11/2021,Rublev A.,0.06
43751,1.43,1,1.004447383,4/24/2017,Troicki V.,0.43
55866,1.17,1,1.004424412,6/22/2022,Medvedev D.,0.17
56734,1.11,1,1.004423534,10/6/2022,Djokovic N.,0.11
