match,PSW,win0,confidence0,date,,,pred,correct?,,,,,,
45731,1.53,0,1.485150057,2/5/2018,-1,-100,,,,,,,,
57767,1.56,0,1.484870436,2/16/2023,-1,-100,,,,,,,,
57769,1.56,0,1.484870436,2/16/2023,-1,-100,,,,,,,,
54487,1.63,0,1.484444514,1/12/2022,-1,-100,,,,,,,,
44773,2.75,1,1.484355622,8/8/2017,1.75,175,,,,,,,,
55860,1.64,0,1.484302002,6/22/2022,-1,-100,,,,,,,,
54939,1.69,0,1.484125637,2/22/2022,-1,-100,,,,,,,,
47418,1.65,0,1.483639374,8/10/2018,-1,-100,,,,,,,,
50277,1.74,0,1.482593826,9/18/2019,-1,-100,,,,,,,,
47214,2.63,1,1.482456958,7/24/2018,1.63,163,,,,,,,,
48973,2.57,1,1.481386652,4/18/2019,1.57,157,,,,,,,,
52196,2.57,1,1.481182362,2/12/2021,1.57,157,,,,,,,,
57156,2.28,1,1.480566572,1/9/2023,1.28,128,,,,,,,,
57143,2.28,1,1.480566572,1/9/2023,1.28,128,,,,,,,,
44093,1.74,0,1.480244741,5/29/2017,-1,-100,,,,,,,,
52590,1.58,0,1.479861808,3/28/2021,-1,-100,,,,,,,,
46277,2.68,1,1.478899831,4/10/2018,1.68,168,,,,,,,,
44441,1.61,0,1.477455063,7/6/2017,-1,-100,,,,,,,,
52066,2.22,1,1.477080022,2/3/2021,1.22,122,,,,,,,,
48106,1.78,0,1.475677152,1/1/2019,-1,-100,,,,,,,,
51129,1.58,0,1.475589473,2/23/2020,-1,-100,,,,,,,,
52801,2.2,1,1.474741316,4/26/2021,1.2,120,,,,,,,,
57554,2.22,1,1.473852138,2/8/2023,1.22,122,,,,,,,,
57570,2.22,1,1.473852138,2/8/2023,1.22,122,,,,,,,,
47692,2.56,1,1.473787689,9/21/2018,1.56,156,,,,,,,,
53438,2.16,1,1.472103675,7/2/2021,1.16,116,,,,,,,,
55499,1.72,0,1.471357459,5/10/2022,-1,-100,,,,,,,,
47943,2.37,1,1.471086868,10/19/2018,1.37,137,,,,,,,,
50299,1.7,0,1.470154432,9/21/2019,-1,-100,,,,,,,,
53249,1.68,0,1.469905546,6/15/2021,-1,-100,,,,,,,,
45781,2.67,1,1.469356169,2/8/2018,1.67,167,,,,,,,,
52587,1.66,0,1.469302003,3/28/2021,-1,-100,,,,,,,,
52661,1.93,1,1.469277648,4/9/2021,0.93,93,,,,,,,,
47173,1.56,0,1.468895869,7/20/2018,-1,-100,,,,,,,,
46467,1.63,0,1.468436136,5/1/2018,-1,-100,,,,,,,,
46598,2.48,1,1.468095939,5/15/2018,1.48,148,,,,,,,,
54040,2.6,1,1.467330428,9/23/2021,1.6,160,,,,,,,,
51852,1.74,0,1.466549636,11/3/2020,-1,-100,,,,,,,,
51922,1.74,0,1.466331414,11/16/2020,-1,-100,,,,,,,,
48486,1.58,0,1.466275523,2/15/2019,-1,-100,,,,,,,,
47665,1.65,0,1.466165271,9/18/2018,-1,-100,,,,,,,,
44090,1.75,0,1.465992898,5/29/2017,-1,-100,,,,,,,,
51396,1.54,0,1.465419227,9/8/2020,-1,-100,,,,,,,,
55868,2.24,1,1.465125078,6/22/2022,1.24,124,,,,,,,,
43363,1.71,0,1.46497168,2/27/2017,-1,-100,,,,,,,,
54110,1.99,1,1.464112377,10/4/2021,0.99,99,,,,,,,,
48986,1.68,0,1.463352154,4/21/2019,-1,-100,,,,,,,,
53134,1.81,0,1.463135886,6/2/2021,-1,-100,,,,,,,,
46848,1.78,0,1.462902237,6/14/2018,-1,-100,,,,,,,,
47983,2.56,1,1.46289753,10/24/2018,1.56,156,,,,,,,,
46436,2.29,1,1.462254006,4/28/2018,1.29,129,,,,,,,,
48144,1.68,0,1.461761234,1/3/2019,-1,-100,,,,,,,,
49187,2.28,1,1.460336837,5/14/2019,1.28,128,,,,,,,,
50060,2.37,1,1.459161669,8/15/2019,1.37,137,,,,,,,,
54857,1.62,0,1.458490285,2/16/2022,-1,-100,,,,,,,,
55807,1.66,0,1.457665505,6/15/2022,-1,-100,,,,,,,,
43449,1.53,0,1.457662268,3/5/2017,-1,-100,,,,,,,,
47720,1.68,0,1.457661954,9/25/2018,-1,-100,,,,,,,,
54756,1.67,0,1.457149574,2/9/2022,-1,-100,,,,,,,,
52812,2.25,1,1.453843653,4/27/2021,1.25,125,,,,,,,,
43081,1.54,0,1.453281463,1/20/2017,-1,-100,,,,,,,,
49979,2.09,1,1.452476923,8/6/2019,1.09,109,,,,,,,,
44066,1.65,0,1.451554527,5/28/2017,-1,-100,,,,,,,,
50311,1.67,0,1.451491601,9/24/2019,-1,-100,,,,,,,,
54955,2.07,1,1.451073844,2/23/2022,1.07,107,,,,,,,,
52870,2.85,1,1.450489649,5/4/2021,1.85,185,,,,,,,,
51112,1.67,0,1.44940024,2/21/2020,-1,-100,,,,,,,,
42883,2.2,1,1.449359554,1/3/2017,1.2,120,,,,,,,,
50974,1.62,0,1.448828834,2/11/2020,-1,-100,,,,,,,,
54166,1.85,0,1.447592654,10/10/2021,-1,-100,,,,,,,,
47325,1.75,0,1.447055891,8/1/2018,-1,-100,,,,,,,,
46315,2.38,1,1.446675766,4/15/2018,1.38,138,,,,,,,,
43251,2.27,1,1.445770245,2/17/2017,1.27,127,,,,,,,,
51855,1.96,1,1.445722809,11/3/2020,0.96,96,,,,,,,,
49551,1.58,0,1.445025558,6/26/2019,-1,-100,,,,,,,,
50968,1.74,0,1.44430493,2/10/2020,-1,-100,,,,,,,,
47548,1.91,0,1.443761259,8/27/2018,-1,-100,,,,,,,,
55955,1.68,0,1.442457192,6/29/2022,-1,-100,,,,,,,,
47802,1.91,1,1.442043331,10/4/2018,0.91,91,,,,,,,,
51208,2.37,1,1.441862377,2/28/2020,1.37,137,,,,,,,,
54031,1.5,0,1.441729207,9/22/2021,-1,-100,,,,,,,,
50533,1.7,0,1.441709384,10/18/2019,-1,-100,,,,,,,,
43123,1.63,0,1.441130676,2/7/2017,-1,-100,,,,,,,,
47705,1.79,0,1.440745143,9/24/2018,-1,-100,,,,,,,,
56279,1.59,0,1.440526085,8/8/2022,-1,-100,,,,,,,,
46875,2.3,1,1.440408156,6/18/2018,1.3,130,,,,,,,,
48865,2.28,1,1.440036313,3/27/2019,1.28,128,,,,,,,,
52400,1.57,0,1.439781012,3/10/2021,-1,-100,,,,,,,,
46002,2.27,1,1.439752337,2/27/2018,1.27,127,,,,,,,,
45390,2.46,1,1.439498603,10/27/2017,1.46,146,,,,,,,,
52670,1.76,0,1.43942355,4/11/2021,-1,-100,,,,,,,,
51173,1.87,0,1.438785025,2/26/2020,-1,-100,,,,,,,,
52919,2.14,1,1.438626783,5/10/2021,1.14,114,,,,,,,,
56843,1.68,0,1.43781664,10/19/2022,-1,-100,,,,,,,,
43344,1.76,0,1.43646865,2/24/2017,-1,-100,,,,,,,,
52926,2.47,1,1.436248537,5/11/2021,1.47,147,,,,,,,,
54375,2.21,1,1.436134572,11/10/2021,1.21,121,,,,,,,,
48183,1.74,0,1.436105239,1/8/2019,-1,-100,,,,,,,,
55275,2.46,1,1.433686683,4/13/2022,1.46,146,,,,,,,,
49156,1.84,0,1.433552086,5/9/2019,-1,-100,,,,,,,,
55827,2.49,1,1.433243884,6/18/2022,1.49,149,,,,,,,,
57960,2.01,1,1.431326839,2/23/2023,1.01,101,,,,,,,,
57938,2.01,1,1.431326839,2/23/2023,1.01,101,,,,,,,,
57006,1.6,0,1.431249182,11/15/2022,-1,-100,,,,,,,,
53005,1.56,0,1.431047967,5/20/2021,-1,-100,,,,,,,,
52834,1.84,0,1.430958843,4/29/2021,-1,-100,,,,,,,,
43118,1.51,0,1.430867674,2/7/2017,-1,-100,,,,,,,,
49553,2.38,1,1.430562918,6/26/2019,1.38,138,,,,,,,,
56336,1.67,0,1.430386555,8/15/2022,-1,-100,,,,,,,,
51757,1.78,0,1.430278507,10/21/2020,-1,-100,,,,,,,,
48698,2.18,1,1.429945832,3/8/2019,1.18,118,,,,,,,,
50976,2.06,0,1.429807282,2/11/2020,-1,-100,,,,,,,,
55265,1.88,0,1.429347084,4/12/2022,-1,-100,,,,,,,,
46246,1.67,0,1.428646296,3/27/2018,-1,-100,,,,,,,,
54066,2.05,1,1.428046231,9/28/2021,1.05,105,,,,,,,,
47664,2.33,1,1.426642111,9/18/2018,1.33,133,,,,,,,,
49891,2.06,0,1.425640309,7/30/2019,-1,-100,,,,,,,,
53946,1.76,0,1.424936933,9/1/2021,-1,-100,,,,,,,,
46922,1.76,0,1.424802,6/23/2018,-1,-100,,,,,,,,
57787,1.64,0,1.424635514,2/17/2023,-1,-100,,,,,,,,
57793,1.64,0,1.424635514,2/17/2023,-1,-100,,,,,,,,
50115,2.31,1,1.424616501,8/23/2019,1.31,131,,,,,,,,
55290,2.14,1,1.423621763,4/15/2022,1.14,114,,,,,,,,
52361,1.76,0,1.423362989,3/6/2021,-1,-100,,,,,,,,
49557,1.84,0,1.423168806,6/26/2019,-1,-100,,,,,,,,
43466,1.59,0,1.422382274,3/10/2017,-1,-100,,,,,,,,
50934,1.71,0,1.421931883,2/6/2020,-1,-100,,,,,,,,
53708,2.31,1,1.421630042,8/4/2021,1.31,131,,,,,,,,
54811,2.23,1,1.420926953,2/14/2022,1.23,123,,,,,,,,
54099,2.29,1,1.420297411,10/1/2021,1.29,129,,,,,,,,
42849,1.79,0,1.420085015,1/2/2017,-1,-100,,,,,,,,
48909,1.77,0,1.420042179,4/11/2019,-1,-100,,,,,,,,
48203,1.56,0,1.418673055,1/10/2019,-1,-100,,,,,,,,
54868,1.81,0,1.41836023,2/17/2022,-1,-100,,,,,,,,
57956,2.42,1,1.418233641,2/23/2023,1.42,142,,,,,,,,
57932,2.42,1,1.418233641,2/23/2023,1.42,142,,,,,,,,
52247,1.69,0,1.417906142,2/23/2021,-1,-100,,,,,,,,
56383,2.35,1,1.416254205,8/21/2022,1.35,135,,,,,,,,
55518,2.44,1,1.415827513,5/11/2022,1.44,144,,,,,,,,
48417,1.85,1,1.415758958,2/9/2019,0.85,85,,,,,,,,
54450,2.16,1,1.415565539,1/8/2022,1.16,116,,,,,,,,
54912,1.65,0,1.41537662,2/21/2022,-1,-100,,,,,,,,
55375,2.13,1,1.414466909,4/25/2022,1.13,113,,,,,,,,
55627,1.59,0,1.414153802,5/24/2022,-1,-100,,,,,,,,
56831,2,0,1.413643855,10/19/2022,-1,-100,,,,,,,,
57166,1.93,0,1.412620883,1/10/2023,-1,-100,,,,,,,,
57163,1.93,0,1.412620883,1/10/2023,-1,-100,,,,,,,,
49993,1.75,0,1.412177317,8/7/2019,-1,-100,,,,,,,,
52382,1.75,1,1.411864191,3/9/2021,0.75,75,,,,,,,,
42970,1.81,0,1.411794029,1/11/2017,-1,-100,,,,,,,,
50537,1.76,0,1.411745131,10/18/2019,-1,-100,,,,,,,,
47273,1.75,0,1.411711015,7/30/2018,-1,-100,,,,,,,,
47103,2.38,1,1.411396412,7/11/2018,1.38,138,,,,,,,,
53657,1.76,0,1.411365883,7/28/2021,-1,-100,,,,,,,,
50421,2.2,1,1.410741541,10/7/2019,1.2,120,,,,,,,,
52891,1.7,0,1.410727522,5/5/2021,-1,-100,,,,,,,,
57568,2.14,1,1.410638919,2/8/2023,1.14,114,,,,,,,,
57561,2.14,1,1.410638919,2/8/2023,1.14,114,,,,,,,,
56535,1.55,0,1.409703593,9/3/2022,-1,-100,,,,,,,,
57640,2.09,1,1.409489152,2/11/2023,1.09,109,,,,,,,,
57645,2.09,1,1.409489152,2/11/2023,1.09,109,,,,,,,,
49962,2.18,1,1.409385314,8/4/2019,1.18,118,,,,,,,,
55459,1.73,0,1.40848968,5/4/2022,-1,-100,,,,,,,,
52166,1.78,0,1.408097334,2/10/2021,-1,-100,,,,,,,,
54185,1.6,0,1.407971774,10/12/2021,-1,-100,,,,,,,,
54492,1.79,0,1.407678213,1/12/2022,-1,-100,,,,,,,,
51052,1.77,0,1.406501774,2/17/2020,-1,-100,,,,,,,,
49991,1.6,0,1.4063733,8/7/2019,-1,-100,,,,,,,,
50293,1.68,0,1.406359403,9/20/2019,-1,-100,,,,,,,,
45375,1.7,0,1.40623235,10/25/2017,-1,-100,,,,,,,,
44648,1.65,0,1.406152286,7/30/2017,-1,-100,,,,,,,,
44572,1.87,0,1.406126723,7/24/2017,-1,-100,,,,,,,,
52722,1.77,0,1.405552421,4/16/2021,-1,-100,,,,,,,,
43859,2.44,1,1.405380195,5/3/2017,1.44,144,,,,,,,,
47168,1.96,0,1.405303036,7/20/2018,-1,-100,,,,,,,,
52401,1.56,0,1.403951523,3/10/2021,-1,-100,,,,,,,,
47911,2.3,1,1.403903838,10/17/2018,1.3,130,,,,,,,,
52514,2.58,1,1.403867869,3/19/2021,1.58,158,,,,,,,,
