match,PSW,win0,confidence0,date,winner,,,correct prediction?,roi,net,,,,,,,,,,,,,,,,,,,,,,,,,
31130,3.35,1,2.903835458,6/1/2012,Seppi A.,2.35,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51878,5.11,1,2.88159354,11/5/2020,Wawrinka S.,4.11,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42346,4.18,1,2.870814047,8/30/2016,Tipsarevic J.,3.18,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37068,4.56,1,2.853856734,8/21/2014,Rosol L.,3.56,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41848,5.05,1,2.846964554,7/3/2016,Pouille L.,4.05,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49089,1.19,0,2.844294843,5/1/2019,Tsitsipas S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41691,1.28,0,2.8414002,6/18/2016,Raonic M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35896,4.38,1,2.836597941,4/16/2014,Carreno-Busta P.,3.38,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52717,1.32,0,2.826706876,4/15/2021,Tsitsipas S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55283,4.64,1,2.825213672,4/14/2022,Dimitrov G.,3.64,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53060,3.56,1,2.82490046,5/27/2021,Martin A.,2.56,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43802,4.48,1,2.824074745,4/27/2017,Khachanov K.,3.48,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47269,1.28,0,2.820459112,7/29/2018,Isner J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51125,1.22,0,2.813844691,2/22/2020,Tsitsipas S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57391,4.01,1,2.805520977,2/16/2023,Mmoh M.,3.01,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41646,1.26,0,2.801986653,6/14/2016,Muller G.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44323,1.21,0,2.792173289,6/27/2017,Tipsarevic J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55215,1.29,0,2.789568827,4/7/2022,Coria F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36399,4.41,1,2.782317981,6/12/2014,Matosevic M.,3.41,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57332,1.26,0,2.780200751,2/11/2023,Fritz T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30996,3.67,1,2.778049576,5/17/2012,Seppi A.,2.67,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56455,3.89,1,2.764382,8/29/2022,Fucsovics M.,2.89,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46213,1.36,0,2.763414118,3/24/2018,Verdasco F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35322,3.41,1,2.761260259,2/6/2014,Kuznetsov An.,2.41,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57213,3.41,1,2.759212961,1/19/2023,Bonzi B.,2.41,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42652,4.55,1,2.75138722,10/18/2016,Ymer M.,3.55,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
