match,PSW,win0,confidence0,date,winner,
53317,1.93,1,0.973719802,6/23/2021,Ivashka I.,0.93
57341,1.38,1,0.97371325,2/13/2023,Borges N.,0.38
47282,1.31,1,0.973710545,7/31/2018,Nishioka Y.,0.31
57488,1.08,1,0.973697996,2/23/2023,De Minaur A.,0.08
46686,1.93,0,0.973696589,5/26/2018,Fucsovics M.,-1
57202,2.38,0,0.973671658,1/18/2023,Holt B.,-1
53359,1.32,1,0.973660823,6/29/2021,Polmans M.,0.32
53590,1.09,1,0.973640743,7/22/2021,Ruud C.,0.09
52795,1.19,1,0.973634493,4/24/2021,Nadal R.,0.19
48829,1.13,1,0.973634074,3/23/2019,Federer R.,0.13
55777,3.72,0,0.973594883,6/13/2022,Basilashvili N.,-1
52012,1.28,1,0.97354587,2/1/2021,Kwon S.W.,0.28
56667,2.54,0,0.973540807,9/30/2022,Lestienne C.,-1
56359,2.67,0,0.973538122,8/17/2022,Shapovalov D.,-1
54781,1.25,1,0.97352145,2/11/2022,Ruud C.,0.25
51207,1.25,1,0.97349218,2/28/2020,Tsitsipas S.,0.25
47002,1.29,1,0.973463148,7/2/2018,Muller G.,0.29
53978,1.78,1,0.973461955,9/4/2021,Brooksby J.,0.78
55142,1.25,1,0.973455799,3/26/2022,Bautista Agut R.,0.25
50217,1.07,1,0.973435527,8/30/2019,Wawrinka S.,0.07
47286,2.73,0,0.973405258,7/31/2018,Ymer E.,-1
49608,1.03,1,0.973349037,7/2/2019,Nadal R.,0.03
50587,1.64,1,0.973329633,10/23/2019,De Minaur A.,0.64
54628,1.61,1,0.97332199,1/25/2022,Berrettini M.,0.61
51174,1.16,1,0.973240883,2/26/2020,Zverev A.,0.16
56247,1.38,1,0.973216327,8/4/2022,Tiafoe F.,0.38
46742,1.12,1,0.973192043,5/29/2018,Anderson K.,0.12
53925,1.56,1,0.97318778,8/31/2021,Bautista Agut R.,0.56
52577,1.1,1,0.973177147,3/27/2021,Tsitsipas S.,0.1
48432,1.71,1,0.973172395,2/12/2019,Thompson J.,0.71
46600,1.45,1,0.973132712,5/15/2018,Schwartzman D.,0.45
52247,1.69,1,0.973119203,2/23/2021,Etcheverry T.,0.69
56408,1.84,1,0.97307788,8/23/2022,Thiem D.,0.84
57333,2.09,0,0.973065825,2/11/2023,Wu Y.,-1
