match,PSW,win0,confidence0,date,winner,,,
23217,1.69,0,1.843295169,5/15/2017,Pavlyuchenkova A.,-1,-50,
29320,1.6,0,1.842005737,9/21/2019,Osaka N.,-1,-50,
26983,2.63,1,1.839927541,10/8/2018,Tomova V.,1.63,81.5,
24647,1.59,0,1.837043793,10/20/2017,Witthoeft C.,-1,-50,
28888,1.63,0,1.833577442,8/5/2019,Kenin S.,-1,-50,
23737,1.6,0,1.830549962,7/8/2017,Martic P.,-1,-50,
25301,1.46,0,1.827337294,3/22/2018,Muguruza G.,-1,-50,
29413,1.52,0,1.826620841,9/28/2019,Kenin S.,-1,-50,
22599,2.73,1,1.822814536,2/22/2017,Sevastova A.,1.73,86.5,
26398,1.71,0,1.821589581,8/4/2018,Kuznetsova S.,-1,-50,
29757,1.37,0,1.820395163,1/15/2020,Vondrousova M.,-1,-50,
26344,2.21,1,1.818946993,7/28/2018,Danilovic O.,1.21,60.5,
22457,1.62,0,1.818652801,1/25/2017,Williams S.,-1,-50,
26269,1.39,0,1.81688642,7/19/2018,Cirstea S.,-1,-50,
26374,1.7,0,1.816857451,8/1/2018,Zheng S.,-1,-50,
33219,1.69,0,1.816836772,1/10/2022,Cristian J.,-1,-50,
32206,1.71,0,1.811726284,7/8/2021,Yastremska D.,-1,-50,
22508,1.5,0,1.811085502,2/3/2017,Cibulkova D.,-1,-50,
25540,1.53,0,1.810476462,4/26/2018,Svitolina E.,-1,-50,
22557,1.48,0,1.81045242,2/19/2017,Osaka N.,-1,-50,
30159,1.78,0,1.810094529,8/6/2020,Giorgi C.,-1,-50,
34643,2.57,1,1.80724475,7/16/2022,Krunic A.,1.57,78.5,
25721,1.43,0,1.806347528,5/16/2018,Halep S.,-1,-50,
26461,1.56,0,1.800001701,8/11/2018,Svitolina E.,-1,-50,
24955,1.57,0,1.798821828,1/22/2018,Halep S.,-1,-50,
29495,2.31,1,1.798242247,10/8/2019,Cornet A.,1.31,65.5,
31157,1.75,0,1.796272466,3/8/2021,Anisimova A.,-1,-50,
28762,2.74,1,1.796003042,7/20/2019,Tig P.M.,1.74,87,
23038,1.59,0,1.795404067,4/25/2017,Kuznetsova S.,-1,-50,
30206,2.19,1,1.793979182,8/13/2020,Bouchard E.,1.19,59.5,
26503,2.46,1,1.791689406,8/16/2018,Keys M.,1.46,73,
35931,1.4,0,1.790081055,2/21/2023,Kvitova P.,-1,-50,
28569,1.52,0,1.787178206,6/27/2019,Bertens K.,-1,-50,
29609,1.7,0,1.783058401,10/27/2019,Osaka N.,-1,-50,
28695,2.62,1,1.78232131,7/8/2019,Konta J.,1.62,81,
26082,1.51,0,1.780952801,6/26/2018,Mertens E.,-1,-50,
28370,2.42,1,1.780160173,5/31/2019,Martic P.,1.42,71,
24198,2.15,1,1.777294273,9/5/2017,Keys M.,1.15,57.5,
29880,2.78,1,1.776152886,1/25/2020,Muguruza G.,1.78,89,
31918,2.21,1,1.774937548,6/9/2021,Boulter K.,1.21,60.5,
28026,1.52,0,1.77205618,4/28/2019,Kvitova P.,-1,-50,
28927,1.46,0,1.770289093,8/8/2019,Williams S.,-1,-50,
22326,1.73,0,1.767531973,1/12/2017,Fett J.,-1,-50,
32674,1.52,0,1.765490329,9/4/2021,Sabalenka A.,-1,-50,
25173,2.65,1,1.764992662,3/8/2018,Zhuk S.,1.65,82.5,
28069,2.47,1,1.762975909,5/1/2019,Korpatsch T.,1.47,73.5,
25478,2.8,1,1.762791777,4/13/2018,Voegele S.,1.8,90,
33310,1.7,0,1.762702498,1/18/2022,Watson H.,-1,-50,
29366,1.53,0,1.761869928,9/24/2019,Bertens K.,-1,-50,
30979,2.64,1,1.760823183,2/13/2021,Gadecki O.,1.64,82,
35531,2.17,1,1.760567676,1/5/2023,Masarova R.,1.17,58.5,
32174,1.81,0,1.760235305,7/5/2021,Tomljanovic A.,-1,-50,
25076,2.16,1,1.758592401,2/19/2018,Kasatkina D.,1.16,58,
25134,1.57,0,1.758103664,2/26/2018,Tsurenko L.,-1,-50,
23138,2.74,1,1.75469304,5/4/2017,Errani S.,1.74,87,
27953,1.74,0,1.745876741,4/11/2019,Arruabarrena L.,-1,-50,
33416,1.64,0,1.744498566,2/8/2022,Begu I.,-1,-50,
34311,1.47,0,1.743904691,6/11/2022,Riske A.,-1,-50,
34193,2.35,1,1.743875307,5/25/2022,Gracheva V.,1.35,67.5,
30727,1.47,0,1.742336854,1/10/2021,Svitolina E.,-1,-50,
33706,1.56,0,1.741231485,3/19/2022,Swiatek I.,-1,-50,
33705,1.49,0,1.740183616,3/17/2022,Badosa P.,-1,-50,
32936,1.71,0,1.738623569,10/10/2021,Haddad Maia B.,-1,-50,
24436,2.7,1,1.737306472,9/29/2017,Bondarenko K.,1.7,85,
27031,1.41,0,1.736083369,10/11/2018,Gavrilova D.,-1,-50,
24284,1.63,0,1.735482135,9/18/2017,Wickmayer Y.,-1,-50,
34012,2.6,1,1.734382004,5/9/2022,Tomljanovic A.,1.6,80,
26973,1.4,0,1.733962046,10/8/2018,Hercog P.,-1,-50,
29458,1.62,0,1.733736065,10/2/2019,Kvitova P.,-1,-50,
33817,1.71,0,1.733643148,4/4/2022,Bjorklund M.,-1,-50,
24039,1.63,0,1.732377314,8/18/2017,Stephens S.,-1,-50,
28041,1.41,0,1.732267579,4/30/2019,Tomljanovic A.,-1,-50,
28061,1.7,0,1.731178596,5/1/2019,Van Uytvanck A.,-1,-50,
28013,1.54,0,1.729366117,4/25/2019,Bertens K.,-1,-50,
25479,1.74,0,1.72820556,4/13/2018,Korpatsch T.,-1,-50,
30278,1.53,0,1.727301545,8/26/2020,Osaka N.,-1,-50,
24762,1.51,0,1.727059903,1/4/2018,Svitolina E.,-1,-50,
30283,1.72,0,1.726285306,8/28/2020,Osaka N.,-1,-50,
22313,1.59,0,1.72479381,1/10/2017,Strycova B.,-1,-50,
24393,3.49,1,1.723142883,9/26/2017,Kasatkina D.,2.49,124.5,
28464,1.63,0,1.72307418,6/17/2019,Tomljanovic A.,-1,-50,
30334,2.89,1,1.72236563,9/2/2020,Rogers S.,1.89,94.5,
22833,2.73,1,1.721530692,3/24/2017,Stosur S.,1.73,86.5,
24432,2.62,1,1.71918854,9/28/2017,Sabalenka A.,1.62,81,
25917,2.27,1,1.717192812,6/4/2018,Kasatkina D.,1.27,63.5,
25320,2.63,1,1.717011808,3/23/2018,Collins D.,1.63,81.5,
30401,1.44,0,1.716928781,9/7/2020,Williams S.,-1,-50,
26895,2.2,1,1.715166919,9/26/2018,Potapova A.,1.2,60,
23315,1.48,0,1.715109007,5/24/2017,Putintseva Y.,-1,-50,
31943,1.56,0,1.713828567,6/14/2021,Garcia C.,-1,-50,
33966,1.67,0,1.713594286,4/29/2022,Osaka N.,-1,-50,
33236,1.73,0,1.713447504,1/11/2022,Ruse E.G.,-1,-50,
28108,2.33,1,1.712695144,5/5/2019,Buzarnescu M.,1.33,66.5,
23248,1.44,0,1.712534805,5/17/2017,Gavrilova D.,-1,-50,
28263,1.56,0,1.712433536,5/23/2019,Putintseva Y.,-1,-50,
24534,1.71,0,1.711065733,10/11/2017,Buzarnescu M.,-1,-50,
27474,1.75,0,1.710610409,2/1/2019,Bertens K.,-1,-50,
29194,2.14,1,1.710004116,9/10/2019,Flink V.,1.14,57,
22787,2.46,1,1.708923627,3/18/2017,Kuznetsova S.,1.46,73,
26513,2.79,1,1.708551687,8/17/2018,Bertens K.,1.79,89.5,
22927,1.49,0,1.707426129,4/5/2017,Lucic-Baroni M.,-1,-50,
34653,1.51,0,1.706866589,7/18/2022,Sasnovich A.,-1,-50,
35174,2.12,1,1.706157135,9/15/2022,Podoroska N.,1.12,56,
33110,3.05,1,1.705965481,11/11/2021,Riske A.,2.05,102.5,
25539,1.41,0,1.705571534,4/26/2018,Garcia C.,-1,-50,
27575,1.82,0,1.705334168,2/20/2019,Parmentier P.,-1,-50,
27956,1.65,0,1.703985476,4/12/2019,Sharma A.,-1,-50,
29692,1.58,0,1.703935841,1/9/2020,Osaka N.,-1,-50,
27261,1.52,0,1.703842727,1/8/2019,Stephens S.,-1,-50,
27587,1.83,0,1.70374557,2/21/2019,Van Uytvanck A.,-1,-50,
28313,1.55,0,1.703716021,5/28/2019,Siniakova K.,-1,-50,
24662,2.73,1,1.703622651,10/26/2017,Williams V.,1.73,86.5,
28767,2.16,1,1.702479034,7/22/2019,Gatto-Monticone G.,1.16,58,
27192,2.15,1,1.697631745,1/1/2019,Konta J.,1.15,57.5,
24350,1.58,0,1.697129392,9/23/2017,Haddad Maia B.,-1,-50,
32591,1.6,0,1.696343452,8/30/2021,Garcia C.,-1,-50,
30629,1.52,0,1.696250261,10/3/2020,Zhang S.,-1,-50,
30882,1.55,0,1.695802286,2/8/2021,Potapova A.,-1,-50,
27422,1.59,0,1.693694664,1/21/2019,Osaka N.,-1,-50,
23408,1.65,0,1.692328463,5/31/2017,Ostapenko J.,-1,-50,
29928,2.37,1,1.692256378,2/12/2020,Dodin O.,1.37,68.5,
32257,2.5,1,1.69174773,7/14/2021,Kozlova K.,1.5,75,
25254,1.61,0,1.691529155,3/16/2018,Williams V.,-1,-50,
31022,2.67,1,1.69144805,2/15/2021,Doi M.,1.67,83.5,
31107,2.18,1,1.691261974,3/2/2021,Keys M.,1.18,59,
29905,1.64,0,1.691166761,2/10/2020,Hibino N.,-1,-50,
26946,1.51,0,1.689522709,10/2/2018,Kerber A.,-1,-50,
22889,2.27,1,1.689294336,4/3/2017,Jabeur O.,1.27,63.5,
25872,1.52,0,1.689017369,5/30/2018,Putintseva Y.,-1,-50,
31281,2.33,1,1.686515393,3/20/2021,Golubic V.,1.33,66.5,
29987,1.39,0,1.685465685,2/21/2020,Halep S.,-1,-50,
32904,1.36,0,1.684877055,10/8/2021,Riske A.,-1,-50,
34195,1.64,0,1.684732619,5/25/2022,Fernandez L.A.,-1,-50,
32482,1.65,0,1.684420207,8/18/2021,Azarenka V.,-1,-50,
26684,2.45,1,1.684145986,9/11/2018,Hibino N.,1.45,72.5,
29617,1.69,0,1.68187644,10/31/2019,Barty A.,-1,-50,
24543,2.43,1,1.681599814,10/11/2017,Golubic V.,1.43,71.5,
34137,2.2,1,1.679646838,5/22/2022,Danilovic O.,1.2,60,
28468,1.52,0,1.678973064,6/17/2019,Strycova B.,-1,-50,
26401,2.78,1,1.676855289,8/4/2018,Buzarnescu M.,1.78,89,
25084,1.59,0,1.676414646,2/20/2018,Garcia C.,-1,-50,
28647,1.74,0,1.676362944,7/3/2019,Zhang S.,-1,-50,
29012,1.54,0,1.675862143,8/20/2019,Siniakova K.,-1,-50,
30676,1.59,0,1.675500335,10/24/2020,Azarenka V.,-1,-50,
26327,1.74,0,1.674592496,7/25/2018,Ivakhnenko V.,-1,-50,
27113,1.5,0,1.673314071,10/18/2018,Goerges J.,-1,-50,
30240,1.81,0,1.672799191,8/23/2020,Jabeur O.,-1,-50,
22351,1.66,0,1.672783159,1/16/2017,Fourlis J.,-1,-50,
23831,1.89,0,1.672450721,7/25/2017,Golubic V.,-1,-50,
27981,2.26,1,1.671383365,4/23/2019,Strycova B.,1.26,63,
27952,2.15,1,1.670711597,4/11/2019,Osorio Serrano M.C.,1.15,57.5,
29163,1.71,0,1.669415045,9/9/2019,Hon P.,-1,-50,
35582,1.35,0,1.669347693,1/10/2023,Krejcikova B.,-1,-50,
24735,2.29,1,1.668280093,1/2/2018,Bogdan A.,1.29,64.5,
23473,1.63,0,1.66798532,6/13/2017,Riske A.,-1,-50,
27153,2.26,1,1.6666297,12/30/2018,Zvonareva V.,1.26,63,
29619,1.69,0,1.664243069,11/1/2019,Svitolina E.,-1,-50,
34054,1.68,0,1.662847434,5/12/2022,Sakkari M.,-1,-50,
25753,1.49,0,1.662102064,5/21/2018,Stosur S.,-1,-50,
31364,2.83,1,1.661587923,3/28/2021,Jabeur O.,1.83,91.5,
29896,1.76,0,1.661579471,1/28/2020,Barty A.,-1,-50,
26234,2.25,1,1.660652261,7/16/2018,Zidansek T.,1.25,62.5,
28730,1.61,0,1.660278695,7/16/2019,Tig P.M.,-1,-50,
25857,1.53,0,1.658601314,5/29/2018,Begu I.,-1,-50,
28419,1.58,0,1.656511603,6/12/2019,Maria T.,-1,-50,
34197,2.78,1,1.656413637,5/25/2022,Parry D.,1.78,89,
26119,2.5,1,1.656107046,7/2/2018,Wickmayer Y.,1.5,75,
29654,1.79,0,1.655403154,1/7/2020,Bertens K.,-1,-50,
35614,1.57,0,1.653286079,1/14/2023,Bencic B.,-1,-50,
24299,1.63,0,1.652973461,9/19/2017,Siniakova K.,-1,-50,
35664,2,1,1.652280951,1/17/2023,Schmiedlova A.,1,50,
