match,PSW,win0,confidence0,date,winner,,correct?,,
30597,3,1,1.871565498,9/30/2020,Pironkova T.,,,,
21053,3.1,1,1.869552726,6/17/2016,Wickmayer Y.,,,,
16314,1.4,0,1.869317311,7/22/2014,Cirstea S.,,,,
21705,1.62,0,1.867105025,9/10/2016,Kerber A.,,,,
35497,2.71,1,1.866680083,1/2/2023,Bonaventure Y.,,,,
23766,3.02,1,1.866411259,7/17/2017,Podoroska N.,,,,
29239,1.49,0,1.8659889,9/15/2019,Pliskova Ka.,,,,
29008,2.27,1,1.864858012,8/19/2019,Ahn K.,,,,
23780,1.47,0,1.864318778,7/18/2017,Kovinic D.,,,,
33703,1.49,0,1.859367113,3/17/2022,Badosa P.,,,,
25721,1.43,0,1.859331703,5/16/2018,Halep S.,,,,
10905,1.48,0,1.853931363,5/20/2012,Sharapova M.,,,,
27461,1.65,0,1.849725952,1/30/2019,Kvitova P.,,,,
30651,1.5,0,1.849499401,10/10/2020,Swiatek I.,,,,
16135,1.45,0,1.849333161,6/25/2014,Zvonareva V.,,,,
23465,2.5,1,1.849113971,6/12/2017,Fett J.,,,,
29621,1.55,0,1.849068949,11/2/2019,Svitolina E.,,,,
24634,1.47,0,1.848769859,10/18/2017,Mertens E.,,,,
30737,1.49,0,1.848122604,1/11/2021,Sabalenka A.,,,,
10700,2.64,1,1.844136746,4/25/2012,Bertens K.,,,,
29410,2.3,1,1.843795892,9/27/2019,Sabalenka A.,,,,
15863,1.65,0,1.843285704,5/27/2014,Cirstea S.,,,,
20561,2.58,1,1.842907688,4/22/2016,Voegele S.,,,,
13296,1.54,0,1.842396162,5/16/2013,Errani S.,,,,
32961,1.44,0,1.8413428,10/16/2021,Azarenka V.,,,,
24042,1.51,0,1.841295314,8/18/2017,Muguruza G.,,,,
23221,1.5,0,1.841178115,5/15/2017,Barthel M.,,,,
10559,1.61,0,1.841093796,4/2/2012,Bondarenko K.,,,,
21672,1.58,0,1.839804277,9/1/2016,Konjuh A.,,,,
14889,2.81,1,1.837035036,1/15/2014,Niculescu M.,,,,
11611,2.36,1,1.836173452,8/14/2012,Tatishvili A.,,,,
13980,1.43,0,1.835428256,7/31/2013,Makarova E.,,,,
13105,1.47,0,1.833694656,4/23/2013,Ivanovic A.,,,,
25253,2.74,1,1.833343245,3/15/2018,Kasatkina D.,,,,
23738,2.56,1,1.83281192,7/8/2017,Radwanska A.,,,,
