match,PSW,win0,confidence0,date,winner,,,,
17636,1.49,0,2.078425575,3/3/2015,Koukalova K.,,,,
11350,1.53,0,2.075850238,6/30/2012,Paszek T.,,,,
28987,3.71,1,2.073294139,8/16/2019,Kuznetsova S.,,,,
34400,1.48,0,2.072918816,6/20/2022,Muguruza G.,,,,
18376,1.44,0,2.07236193,6/2/2015,Ivanovic A.,,,,
29766,1.54,0,2.070443924,1/16/2020,Barty A.,,,,
16077,1.37,0,2.070243578,6/23/2014,Zahlavova Strycova B.,,,,
31132,1.37,0,2.069532319,3/5/2021,Muguruza G.,,,,
26337,1.39,0,2.064919585,7/27/2018,Linette M.,,,,
27199,1.6,0,2.063857751,1/1/2019,Anisimova A.,,,,
24532,1.45,0,2.062944117,10/11/2017,Bencic B.,,,,
13384,1.54,0,2.055733438,5/26/2013,Cetkovska P.,,,,
9850,1.5,0,2.05413485,1/3/2012,Kerber A.,,,,
34052,1.28,0,2.042657277,5/12/2022,Jabeur O.,,,,
20980,1.39,0,2.041903,6/9/2016,Bencic B.,,,,
30400,1.44,0,2.040027461,9/7/2020,Williams S.,,,,
28969,1.33,0,2.037037256,8/14/2019,Barty A.,,,,
27036,1.41,0,2.035019703,10/11/2018,Gavrilova D.,,,,
25536,1.53,0,2.032891708,4/26/2018,Svitolina E.,,,,
28258,1.56,0,2.032151431,5/23/2019,Putintseva Y.,,,,
25107,2.86,1,2.030938633,2/21/2018,Kasatkina D.,,,,
20900,1.53,0,2.029260554,5/26/2016,Bacsinszky T.,,,,
9730,1.34,0,2.026013373,10/16/2011,Kvitova P.,,,,
28004,1.54,0,2.018518904,4/25/2019,Bertens K.,,,,
14318,1.66,0,2.017898373,9/12/2013,Govortsova O.,,,,
21581,2.98,1,2.01771347,8/29/2016,Wang Yaf.,,,,
9172,3.17,1,2.013637484,8/10/2011,Zheng J.,,,,
17927,3.05,1,2.013125836,4/8/2015,Barthel M.,,,,
10939,1.65,0,2.001059674,5/23/2012,Parmentier P.,,,,
34649,1.51,0,1.997333133,7/18/2022,Sasnovich A.,,,,
15905,1.45,0,1.994770468,5/29/2014,Kuznetsova S.,,,,
24955,1.57,0,1.994420211,1/22/2018,Halep S.,,,,
31615,1.43,0,1.989436031,5/5/2021,Sabalenka A.,,,,
27513,2.88,1,1.987444988,2/15/2019,Mertens E.,,,,
12069,1.51,0,1.984280891,10/6/2012,Sharapova M.,,,,
29238,1.49,0,1.983285166,9/15/2019,Pliskova Ka.,,,,
31553,1.37,0,1.981728325,4/24/2021,Barty A.,,,,
13806,1.56,0,1.980332064,7/10/2013,Beck A.,,,,
30228,1.4,0,1.978928692,8/16/2020,Halep S.,,,,
29058,2.5,1,1.978787705,8/27/2019,Babos T.,,,,
8838,2.9,1,1.977179114,6/24/2011,Wickmayer Y.,,,,
30211,1.4,0,1.96880517,8/13/2020,Williams S.,,,,
12602,2.73,1,1.968543825,2/14/2013,Stosur S.,,,,
29988,1.47,0,1.968290593,2/22/2020,Halep S.,,,,
25475,2.8,1,1.967770805,4/13/2018,Voegele S.,,,,
35480,3.27,1,1.967710527,10/31/2022,Sakkari M.,,,,
14672,2.59,1,1.967358925,12/30/2013,Golubic V.,,,,
18740,2.58,1,1.960624243,7/20/2015,Koukalova K.,,,,
11123,2.27,1,1.960172503,6/13/2012,Craybas J.,,,,
22491,3.78,1,1.959731124,2/1/2017,Vikhlyantseva N.,,,,
32202,1.71,0,1.957845012,7/8/2021,Yastremska D.,,,,
20486,3.31,1,1.953096341,4/12/2016,Pella C.,,,,
30651,1.5,0,1.953059769,10/10/2020,Swiatek I.,,,,
23126,1.53,0,1.949558158,5/3/2017,Barthel M.,,,,
22080,1.35,0,1.94895342,10/14/2016,Suarez Navarro C.,,,,
33390,2.91,1,1.945346882,1/23/2022,Krejcikova B.,,,,
28805,2.66,1,1.944369525,7/25/2019,Paolini J.,,,,
9623,1.67,0,1.942399651,10/2/2011,Hercog P.,,,,
20793,1.51,0,1.94021179,5/18/2016,Bertens K.,,,,
30454,1.54,0,1.940110219,9/15/2020,Muguruza G.,,,,
27900,1.51,0,1.937384724,4/6/2019,Wozniacki C.,,,,
30402,1.49,0,1.932613024,9/7/2020,Osaka N.,,,,
13462,1.45,0,1.931779251,5/31/2013,Vinci R.,,,,
28990,1.37,0,1.928599513,8/16/2019,Barty A.,,,,
28293,1.46,0,1.927858852,5/27/2019,Hsieh S.W.,,,,
31166,1.46,0,1.92712771,3/8/2021,Davis L.,,,,
30279,1.53,0,1.926567987,8/26/2020,Osaka N.,,,,
34796,1.48,0,1.921340647,8/3/2022,Anisimova A.,,,,
32257,1.49,0,1.921162254,7/14/2021,Garcia C.,,,,
13796,4.48,1,1.919884315,7/9/2013,Hlavackova A.,,,,
24279,1.51,0,1.917993237,9/18/2017,Barthel M.,,,,
16046,1.45,0,1.915259875,6/19/2014,Wozniacki C.,,,,
20974,2.66,1,1.913928043,6/8/2016,Kontaveit A.,,,,
28890,1.63,0,1.912242186,8/5/2019,Kenin S.,,,,
16157,2.52,1,1.909017241,6/27/2014,Smitkova T.,,,,
29978,1.48,0,1.906536869,2/19/2020,Rybakina E.,,,,
30057,1.34,0,1.903604828,2/26/2020,Barty A.,,,,
13794,1.58,0,1.903354456,7/9/2013,Cadantu A.,,,,
35523,2.88,1,1.900162766,1/4/2023,Masarova R.,,,,
34827,1.56,0,1.899349738,8/8/2022,Stephens S.,,,,
18524,1.43,0,1.898708814,6/23/2015,Muguruza G.,,,,
32444,1.65,0,1.898546791,8/13/2021,Sabalenka A.,,,,
15941,1.56,0,1.889905396,6/9/2014,Zhang S.,,,,
32178,1.53,0,1.889904696,7/5/2021,Sabalenka A.,,,,
15082,2.93,1,1.88579146,2/19/2014,Suarez Navarro C.,,,,
33706,1.56,0,1.884370755,3/19/2022,Swiatek I.,,,,
27602,1.65,0,1.88434652,2/25/2019,Wang Yaf.,,,,
22834,2.73,1,1.883925335,3/24/2017,Stosur S.,,,,
29409,2.3,1,1.883818851,9/27/2019,Sabalenka A.,,,,
16436,3.13,1,1.883634002,8/7/2014,Makarova E.,,,,
21988,1.32,0,1.88178427,10/5/2016,Svitolina E.,,,,
8835,1.45,0,1.881588077,6/24/2011,Williams V.,,,,
14931,3.49,1,1.881315394,1/20/2014,Cibulkova D.,,,,
14290,2.8,1,1.879413864,9/10/2013,Garcia C.,,,,
34335,3.57,1,1.878604403,6/14/2022,Boulter K.,,,,
22252,1.46,0,1.877529118,1/4/2017,Cibulkova D.,,,,
22154,1.57,0,1.869952958,10/23/2016,Kerber A.,,,,
12405,2.84,1,1.866832735,1/15/2013,Gavrilova D.,,,,
10698,2.64,1,1.86626999,4/25/2012,Bertens K.,,,,
31311,2.39,1,1.865417125,3/24/2021,Konjuh A.,,,,
10906,3.39,1,1.86526023,5/21/2012,Parmentier P.,,,,
15258,1.41,0,1.864372611,3/11/2014,Kvitova P.,,,,
35782,1.59,0,1.862161383,2/2/2023,Potapova A.,,,,
29815,1.58,0,1.857231522,1/21/2020,Garcia C.,,,,
29967,3.26,1,1.855091426,2/18/2020,Rybakina E.,,,,
15472,1.49,0,1.854248928,4/8/2014,Garcia C.,,,,
17606,1.46,0,1.853079765,2/26/2015,Garcia C.,,,,
30249,1.62,0,1.852459371,8/23/2020,Anisimova A.,,,,
9894,1.5,0,1.851458218,1/9/2012,Scheepers C.,,,,
