match,PSW,win0,confidence0,date,winner,,,correct pred?
24532,1.72,0,1.559507167,10/11/2017,Voegele S.,-1,-100,
26381,1.54,0,1.557780996,8/2/2018,Zheng S.,-1,-100,
24482,1.65,0,1.557022002,10/3/2017,Radwanska A.,-1,-100,
25409,1.78,0,1.556444671,4/5/2018,Tomljanovic A.,-1,-100,
29629,2.16,1,1.555767252,1/5/2020,Wang Xiy.,1.16,116,
28729,1.67,0,1.553161795,7/16/2019,Begu I.,-1,-100,
23222,2.16,1,1.550897936,5/15/2017,Putintseva Y.,1.16,116,
25241,1.68,0,1.549006418,3/13/2018,Williams V.,-1,-100,
23103,2.86,1,1.547392287,5/2/2017,Shvedova Y.,1.86,186,
32951,1.52,0,1.54583063,10/12/2021,Tomljanovic A.,-1,-100,
32546,1.74,0,1.545417506,8/25/2021,Begu I.,-1,-100,
26787,1.5,0,1.544532096,9/19/2018,Putintseva Y.,-1,-100,
22985,2.18,1,1.544213076,4/11/2017,Jakupovic D.,1.18,118,
33311,1.7,0,1.542967553,1/18/2022,Watson H.,-1,-100,
33999,1.64,0,1.542865121,5/2/2022,Anisimova A.,-1,-100,
24280,2.65,1,1.542676209,9/18/2017,Soylu I.,1.65,165,
25078,1.63,0,1.542511082,2/19/2018,Vesnina E.,-1,-100,
33077,1.58,0,1.542382671,10/29/2021,Peterson R.,-1,-100,
35880,1.66,0,1.540855659,2/15/2023,Haddad Maia B.,-1,-100,
27817,1.4,0,1.54046923,3/27/2019,Halep S.,-1,-100,
33100,2.56,1,1.540069618,11/9/2021,Cristian J.,1.56,156,
36004,1.77,0,1.539847999,3/1/2023,Zhu L.,-1,-100,
22939,1.74,0,1.539714514,4/5/2017,Kasatkina D.,-1,-100,
29422,1.57,0,1.5379554,9/28/2019,Van Uytvanck A.,-1,-100,
25157,1.52,0,1.537828906,3/2/2018,Tsurenko L.,-1,-100,
30067,2.65,1,1.53460066,2/28/2020,Kvitova P.,1.65,165,
28464,1.63,0,1.533982134,6/17/2019,Tomljanovic A.,-1,-100,
35541,2.2,1,1.533843082,1/6/2023,Kovinic D.,1.2,120,
31844,2.21,1,1.533360681,6/2/2021,Collins D.,1.21,121,
22677,1.73,0,1.532595636,3/2/2017,Lucic-Baroni M.,-1,-100,
26881,2.63,1,1.532530103,9/26/2018,Barty A.,1.63,163,
23049,2.8,1,1.531644619,4/26/2017,Vesnina E.,1.8,180,
35612,2.08,1,1.531400443,1/13/2023,Kasatkina D.,1.08,108,
31950,1.55,0,1.531064741,6/14/2021,Bencic B.,-1,-100,
24991,1.71,0,1.527562252,1/31/2018,Jakupovic D.,-1,-100,
28124,1.53,0,1.525069961,5/6/2019,Putintseva Y.,-1,-100,
23394,1.61,0,1.524002216,5/30/2017,Townsend T.,-1,-100,
32926,2.98,1,1.523515332,10/9/2021,Kalinskaya A.,1.98,198,
35614,1.57,0,1.5224385,1/14/2023,Bencic B.,-1,-100,
35487,2.1,1,1.522127259,11/4/2022,Sabalenka A.,1.1,110,
25039,2.33,1,1.52206825,2/13/2018,Cornet A.,1.33,133,
27735,1.53,0,1.521252865,3/20/2019,Putintseva Y.,-1,-100,
29073,2.57,1,1.519508428,8/27/2019,Di Lorenzo F.,1.57,157,
22326,1.73,0,1.517930936,1/12/2017,Fett J.,-1,-100,
23205,2.51,1,1.516822768,5/10/2017,Vandeweghe C.,1.51,151,
26721,2.33,1,1.516362004,9/14/2018,Parmentier P.,1.33,133,
27672,2.18,1,1.515337095,3/8/2019,Bonaventure Y.,1.18,118,
24389,1.66,0,1.515050936,9/26/2017,Radwanska A.,-1,-100,
24494,2.3,1,1.51370967,10/5/2017,Kvitova P.,1.3,130,
22270,1.97,0,1.512231089,1/6/2017,Davis L.,-1,-100,
22888,2.27,1,1.512124653,4/3/2017,Jabeur O.,1.27,127,
25671,1.56,0,1.511453176,5/9/2018,Suarez Navarro C.,-1,-100,
22910,1.69,0,1.511186696,4/4/2017,Zhang S.,-1,-100,
24304,1.68,0,1.509989132,9/19/2017,Rodina E.,-1,-100,
23538,1.54,0,1.508942404,6/20/2017,Cepelova J.,-1,-100,
29458,1.62,0,1.50791899,10/2/2019,Kvitova P.,-1,-100,
22332,2.56,1,1.507838694,1/13/2017,Konta J.,1.56,156,
32864,1.66,0,1.506791549,10/1/2021,Van Uytvanck A.,-1,-100,
31836,2.27,1,1.505273135,6/2/2021,Keys M.,1.27,127,
24599,1.83,0,1.503906932,10/16/2017,Witthoeft C.,-1,-100,
32160,2.6,1,1.501333871,7/2/2021,Jabeur O.,1.6,160,
26884,1.65,0,1.500789143,9/26/2018,Wang Q.,-1,-100,
