match,PSW,win0,confidence0,date,winner,,,,
28890,1.63,0,1.830512345,8/5/2019,Kenin S.,-1,-50,,
25134,1.57,0,1.827073288,2/26/2018,Tsurenko L.,-1,-50,,
25891,1.69,0,1.824605157,5/31/2018,Petkovic A.,-1,-50,,
31918,2.21,1,1.82378891,6/9/2021,Boulter K.,1.21,60.5,,
23738,1.6,0,1.822193696,7/8/2017,Martic P.,-1,-50,,
34273,1.57,0,1.819422019,6/7/2022,Flipkens K.,-1,-50,,
24761,1.51,0,1.817965307,1/4/2018,Svitolina E.,-1,-50,,
32260,1.49,0,1.816337366,7/14/2021,Garcia C.,-1,-50,,
28061,1.7,0,1.814464834,5/1/2019,Van Uytvanck A.,-1,-50,,
22878,1.52,0,1.814420784,3/29/2017,Wozniacki C.,-1,-50,,
26783,1.5,0,1.812363727,9/19/2018,Putintseva Y.,-1,-50,,
25351,1.65,0,1.812089489,3/30/2018,Ostapenko J.,-1,-50,,
28062,1.58,0,1.808830974,5/1/2019,Konta J.,-1,-50,,
22978,1.51,0,1.80820953,4/10/2017,Barthel M.,-1,-50,,
34808,1.55,0,1.804897514,8/4/2022,Jabeur O.,-1,-50,,
24197,2.15,1,1.804579511,9/5/2017,Keys M.,1.15,57.5,,
29691,1.58,0,1.803763869,1/9/2020,Osaka N.,-1,-50,,
28008,1.6,0,1.803521381,4/25/2019,Osaka N.,-1,-50,,
29386,1.54,0,1.802750607,9/25/2019,Sabalenka A.,-1,-50,,
28805,2.66,1,1.798695653,7/25/2019,Paolini J.,1.66,83,,
22568,2.63,1,1.798205018,2/20/2017,Riske A.,1.63,81.5,,
26247,1.78,0,1.798006535,7/17/2018,Bara I.,-1,-50,,
32206,1.71,0,1.797380889,7/8/2021,Yastremska D.,-1,-50,,
28485,1.47,0,1.796931264,6/18/2019,Osaka N.,-1,-50,,
32503,1.54,0,1.795394756,8/21/2021,Pliskova Ka.,-1,-50,,
29004,2.52,1,1.792424181,8/19/2019,Zhu L.,1.52,76,,
32470,1.5,0,1.791740525,8/18/2021,Bencic B.,-1,-50,,
28069,2.47,1,1.7834024,5/1/2019,Korpatsch T.,1.47,73.5,,
25481,1.74,0,1.782059436,4/13/2018,Korpatsch T.,-1,-50,,
33820,2.14,1,1.781212451,4/4/2022,Zavatska K.,1.14,57,,
28614,2.28,1,1.779797289,7/2/2019,Flink V.,1.28,64,,
23821,1.63,0,1.779254257,7/24/2017,Xun F.Y.,-1,-50,,
22703,1.74,0,1.776929769,3/9/2017,Linette M.,-1,-50,,
31338,1.52,0,1.774706585,3/26/2021,Anisimova A.,-1,-50,,
25006,2.34,1,1.77458011,2/1/2018,Wang Yaf.,1.34,67,,
24189,1.57,0,1.773176328,9/3/2017,Stephens S.,-1,-50,,
24159,1.64,0,1.77133294,8/31/2017,Stephens S.,-1,-50,,
33530,2.4,1,1.770224118,2/23/2022,Ostapenko J.,1.4,70,,
22985,2.18,1,1.769991861,4/11/2017,Jakupovic D.,1.18,59,,
29495,2.31,1,1.769709426,10/8/2019,Cornet A.,1.31,65.5,,
25155,1.52,0,1.767440563,3/1/2018,Mladenovic K.,-1,-50,,
24434,2.7,1,1.764394108,9/29/2017,Bondarenko K.,1.7,85,,
33999,1.64,0,1.763453813,5/2/2022,Anisimova A.,-1,-50,,
32694,2.34,1,1.762538314,9/10/2021,Raducanu E.,1.34,67,,
30001,1.47,0,1.759876616,2/24/2020,Bertens K.,-1,-50,,
26403,1.71,0,1.75942152,8/4/2018,Kuznetsova S.,-1,-50,,
29319,1.52,0,1.759220203,9/21/2019,Osaka N.,-1,-50,,
24970,1.56,0,1.758980612,1/29/2018,Cornet A.,-1,-50,,
22933,1.49,0,1.758782173,4/5/2017,Lucic-Baroni M.,-1,-50,,
23570,1.61,0,1.758707805,6/23/2017,Kvitova P.,-1,-50,,
22934,1.61,0,1.757453034,4/5/2017,Bertens K.,-1,-50,,
25238,1.42,0,1.755323285,3/12/2018,Osaka N.,-1,-50,,
22238,2.25,1,1.753215113,1/4/2017,Stojanovic N.,1.25,62.5,,
26325,1.74,0,1.752885358,7/25/2018,Ivakhnenko V.,-1,-50,,
35480,3.27,1,1.751628407,10/31/2022,Sakkari M.,2.27,113.5,,
