match,PSW,win0,confidence0,date,winner,-1
27841,1.43,1,0.720921494,4/2/2019,Pavlyuchenkova A.,
22151,5.23,0,0.720706576,10/22/2016,Niculescu M.,
21427,3.75,0,0.720681383,7/28/2016,Pavlyuchenkova A.,
25391,1.44,1,0.72026855,4/3/2018,Garcia C.,
26384,1.32,1,0.719856861,8/2/2018,Linette M.,
34572,1.2,1,0.719522984,7/3/2022,Jabeur O.,0.2
22315,5.23,0,0.719438507,1/10/2017,Cepede Royg V.,
25628,1.37,1,0.718459,5/5/2018,Garcia C.,
26256,1.15,1,0.718380771,7/18/2018,Vondrousova M.,
28014,1.45,1,0.71830962,4/26/2019,Kvitova P.,
19733,2.31,0,0.716984064,1/7/2016,Babos T.,
26341,1.26,1,0.71680294,7/27/2018,Wang Q.,
24983,1.43,1,0.716165876,1/30/2018,Vinci R.,
15611,1.59,1,0.71561111,4/29/2014,Begu I.,
16865,3.13,0,0.715026621,9/22/2014,Gajdosova J.,
22676,1.55,1,0.713340201,3/2/2017,Ostapenko J.,
30195,1.39,1,0.71280129,8/11/2020,Pegula J.,
24209,1.36,1,0.712365792,9/11/2017,Mertens E.,
32000,1.08,1,0.711856118,6/20/2021,Podoroska N.,
30986,1.85,1,0.711574146,2/13/2021,Minnen G.,
13250,1.14,1,0.709277592,5/10/2013,Sharapova M.,
16358,4.99,0,0.708670838,7/29/2014,Zhao C.,
25429,1.23,1,0.708334756,4/6/2018,Muguruza G.,
26288,1.4,1,0.706704918,7/23/2018,Liang E.S.,
10573,1.18,1,0.706665104,4/3/2012,Lepchenko V.,
26118,2.5,0,0.706547947,7/2/2018,Wickmayer Y.,
14839,1.45,1,0.705022322,1/13/2014,Pliskova Ka.,
11165,2.4,0,0.704860547,6/15/2012,Minella M.,
33501,1.65,1,0.70441572,2/22/2022,Bouzkova M.,0.65
11200,1.23,1,0.702618858,6/19/2012,Cibulkova D.,
10020,1.6,1,0.700993099,1/19/2012,Lisicki S.,
12196,1.12,1,0.700591157,10/24/2012,Azarenka V.,
33217,1.25,1,0.700493029,1/10/2022,Kvitova P.,0.25
34037,3.86,0,0.700428446,5/11/2022,Collins D.,-1
23229,4.57,0,0.699834139,5/16/2017,Lucic-Baroni M.,
26461,1.43,1,0.69957807,8/11/2018,Halep S.,
33185,2.03,0,0.699232371,1/6/2022,Parrizas Diaz N.,-1
25927,1.44,1,0.699121072,6/9/2018,Halep S.,
13394,1.18,1,0.695893069,5/27/2013,Ormaechea P.,
28917,1.36,1,0.69579164,8/7/2019,Pliskova Ka.,
21387,1.63,1,0.695590095,7/25/2016,Strycova B.,
10841,1.21,1,0.695197142,5/10/2012,Williams S.,
12169,1.29,1,0.695032999,10/18/2012,Stosur S.,
23612,1.17,1,0.694544277,6/28/2017,Halep S.,
14295,1.38,1,0.694091328,9/10/2013,Safarova L.,
17998,3.98,0,0.693783522,4/22/2015,Diyas Z.,
27514,3.7,0,0.693081078,2/16/2019,Mertens E.,
12310,1.33,1,0.691084798,1/5/2013,Li N.,
35120,1.43,1,0.690616745,9/6/2022,Jabeur O.,0.43
30839,3.58,0,0.688482303,2/3/2021,Begu I.,
13251,1.18,1,0.687693562,5/11/2013,Williams S.,
25819,1.85,0,0.686839228,5/28/2018,Bencic B.,
32047,4.54,0,0.685293893,6/24/2021,Giorgi C.,
34578,1.26,1,0.684568856,7/5/2022,Jabeur O.,0.26
22808,1.61,1,0.682074057,3/22/2017,Barty A.,
30895,1.2,1,0.681709686,2/8/2021,Osaka N.,
25950,1.27,1,0.681256273,6/12/2018,Kuzmova V.,
22993,1.21,1,0.679472433,4/11/2017,Vondrousova M.,
24543,3.38,0,0.676627072,10/11/2017,Wang Yaf.,
28518,2.61,0,0.676601931,6/22/2019,Bencic B.,
34879,1.45,1,0.672038529,8/13/2022,Halep S.,0.45
13118,1.38,1,0.667192762,4/24/2013,Pennetta F.,
24951,1.16,1,0.662769921,1/21/2018,Svitolina E.,
12606,1.17,1,0.661277428,2/15/2013,Sharapova M.,
13495,1.17,1,0.659532714,6/8/2013,Williams S.,
27085,1.19,1,0.655805921,10/16/2018,Muguruza G.,
36112,1.17,1,0.654841383,3/13/2023,Sabalenka A.,0.17
23594,1.41,1,0.654827649,6/26/2017,Pliskova Ka.,
11367,1.18,1,0.654815573,7/7/2012,Williams S.,
23713,1.33,1,0.654139933,7/6/2017,Wozniacki C.,
16415,1.64,1,0.652583268,8/5/2014,Stosur S.,
13308,1.24,1,0.650308538,5/19/2013,Williams S.,
12756,1.57,1,0.649358103,2/27/2013,Suarez Navarro C.,
19653,2.81,0,0.645619668,11/5/2015,Kuznetsova S.,
13800,1.67,1,0.643262887,7/9/2013,Babos T.,
17799,1.43,1,0.632033537,3/25/2015,Mchale C.,
29902,1.34,1,0.626920126,2/10/2020,Sanders S.,
35960,3.74,0,0.622528856,2/23/2023,Krejcikova B.,-1
26242,4.07,0,0.621166312,7/17/2018,Kostova E.,
33677,1.25,1,0.605384476,3/13/2022,Swiatek I.,0.25
9891,,0,,1/9/2012,Dulgheru A.,
10323,,0,,2/28/2012,Cabeza-Candela E.,
10695,,0,,4/25/2012,Amanmuradova A.,
10782,,1,,5/4/2012,Vesnina E.,
10783,,1,,5/4/2012,Errani S.,
10784,,0,,5/4/2012,Kanepi K.,
10785,,1,,5/4/2012,Suarez Navarro C.,
10895,,0,,5/17/2012,Cibulkova D.,
10998,,0,,5/28/2012,Karatantcheva S.,
11118,,1,,6/12/2012,Zheng J.,
11452,,0,,7/18/2012,Oudin M.,
12013,,1,,9/29/2012,Paszek T.,
12094,,0,,10/9/2012,Burdette M.,
12272,,0,,1/1/2013,Zhou Y.M.,
12347,,1,,1/8/2013,Jovanovski B.,
12465,,1,,1/17/2013,Vesnina E.,
12725,,1,,2/26/2013,Bertens K.,
12745,,0,,2/27/2013,Amanmuradova A.,
12904,,1,,3/20/2013,Soler Espinosa S.,
12945,,0,,3/22/2013,Davis L.,
13205,,0,,5/5/2013,Keys M.,
13215,,0,,5/5/2013,Medina Garrigues A.,
13544,,1,,6/12/2013,Halep S.,
13771,,1,,7/8/2013,Errani S.,
13774,,1,,7/8/2013,Halep S.,
13822,,1,,7/12/2013,Errani S.,
14008,,0,,8/4/2013,Stosur S.,
14014,,0,,8/5/2013,Wickmayer Y.,
14081,,1,,8/13/2013,Niculescu M.,
14774,,1,,1/6/2014,Muguruza G.,
14844,,1,,1/13/2014,Pennetta F.,
14860,,1,,1/14/2014,Radwanska A.,
14868,,1,,1/14/2014,Azarenka V.,
14886,,1,,1/15/2014,Riske A.,
15082,,0,,2/19/2014,Friedsam A.L.,
15096,,1,,2/20/2014,Nara K.,
15305,,1,,3/20/2014,Williams S.,
15454,,0,,4/7/2014,Khromacheva I.,
15736,,1,,5/15/2014,Suarez Navarro C.,
15758,,1,,5/19/2014,Rodionova An.,
15960,,0,,6/10/2014,Babos T.,
16414,,0,,8/5/2014,Vesnina E.,
16466,,1,,8/12/2014,Zahlavova Strycova B.,
16515,,1,,8/18/2014,Garcia C.,
17271,,1,,1/13/2015,Pliskova Ka.,
17423,,1,,2/10/2015,Zhu L.,
17818,,0,,3/26/2015,Badosa Gibert. P.,
17931,,0,,4/9/2015,Begu I.,
17983,,1,,4/18/2015,Shvedova Y.,
18451,,0,,6/15/2015,Koukalova K.,
18486,,1,,6/18/2015,Pliskova Ka.,
18923,,0,,8/11/2015,Goerges J.,
18931,,0,,8/11/2015,Lisicki S.,
19514,,1,,10/13/2015,Konta J.,
19695,,1,,1/5/2016,King V.,
