match,correct_prediction,confidence,PSW,date,winner
47924,1,0.7979063,1.3,2024-07-30,Shapovalov D.
48236,1,0.7978397,1.27,2024-09-02,De Minaur A.
49235,0,0.79747736,1.77,2025-02-26,Comesana F.
49084,1,0.79742914,1.63,2025-02-12,Kecmanovic M.
48776,1,0.7972519,2.62,2025-01-04,Lehecka J.
48386,1,0.7966891,1.4,2024-10-03,Berrettini M.
48692,1,0.79574686,1.37,2024-11-06,Shapovalov D.
48560,1,0.7956254,1.38,2024-10-22,Tsitsipas S.
48560,1,0.7947573,1.38,2024-10-22,Tsitsipas S.
48298,1,0.79353714,2.19,2024-09-24,Cilic M.
48956,1,0.7935026,2.62,2025-01-21,Djokovic N.
48997,0,0.7934698,1.07,2025-02-04,Alcaraz C.
47738,1,0.793326,3.46,2024-07-15,Blanchet U.
48714,1,0.79295176,1.58,2024-11-13,Alcaraz C.
48328,1,0.7927362,1.07,2024-09-27,Alcaraz C.
47826,1,0.7926875,1.56,2024-07-20,Borges N.
47251,0,0.7925946,2.33,2024-05-20,Shevchenko A.
47332,1,0.7922945,1.62,2024-05-27,Shevchenko A.
48298,1,0.79152304,2.19,2024-09-24,Cilic M.
48824,1,0.7913638,1.35,2025-01-09,Monfils G.
48540,1,0.79126734,1.42,2024-10-21,Berrettini M.
48252,1,0.7912202,2.37,2024-09-19,Wong C.
47341,0,0.7911963,2.08,2024-05-28,Bublik A.
47558,1,0.79062426,2.21,2024-06-25,Walton A.
47342,1,0.79047436,1.02,2024-05-28,Djokovic N.
47622,1,0.79024786,1.17,2024-07-01,Nakashima B.
47547,0,0.7902201,1.78,2024-06-24,Hijikata R.
47870,1,0.7899579,1.25,2024-07-24,Musetti L.
48464,1,0.78995144,2.97,2024-10-14,Engel J.
48356,1,0.78983057,2.2,2024-09-30,Fils A.
47258,1,0.78907454,2.01,2024-05-21,Kotov P.
47506,1,0.7882719,2.75,2024-06-18,Mpetshi G.
