match,correct_prediction,confidence,PSW,date,winner
47755,1,0.882317,1.02,2024-07-16,Nadal R.
48203,1,0.88172907,3.1,2024-08-29,O Connell C.
48707,1,0.88134426,1.41,2024-11-09,Shapovalov D.
48289,1,0.8811698,1.83,2024-09-22,Hanfmann Y.
48321,1,0.8810522,1.65,2024-09-27,Draper J.
46883,1,0.88060766,1.58,2024-04-05,Carballes Baena R.
48289,1,0.8805526,1.83,2024-09-22,Hanfmann Y.
48287,1,0.87882715,2.42,2024-09-22,Kachmazov A.
47699,1,0.8787212,1.17,2024-07-06,Musetti L.
48593,1,0.8783548,2.05,2024-10-26,Shelton B.
48267,1,0.8780957,1.85,2024-09-19,Hijikata R.
47671,1,0.8779832,2.68,2024-07-04,Pouille L.
46939,1,0.8778315,2.2,2024-04-11,Tsitsipas S.
47624,0,0.87697417,1.22,2024-07-01,Zhang Zh.
47881,1,0.8767217,2.71,2024-07-24,Mensik J.
47817,1,0.87497133,1.15,2024-07-19,Tsitsipas S.
48063,1,0.8747413,1.78,2024-08-17,Tiafoe F.
48139,1,0.8746911,3.45,2024-08-26,Comesana F.
48195,1,0.87455887,1.17,2024-08-28,Tiafoe F.
48139,1,0.87439144,3.45,2024-08-26,Comesana F.
46885,1,0.87415415,2.15,2024-04-05,Darderi L.
47941,1,0.8728763,1.58,2024-07-31,Kokkinakis T.
47881,1,0.87265533,2.71,2024-07-24,Mensik J.
48588,0,0.8718477,4.27,2024-10-25,Musetti L.
47817,1,0.87122715,1.15,2024-07-19,Tsitsipas S.
47913,1,0.86821157,1.95,2024-07-28,Nishioka Y.
47913,1,0.8677942,1.95,2024-07-28,Nishioka Y.
47807,1,0.86763144,1.31,2024-07-19,Zverev A.
47211,1,0.8674923,2.3,2024-05-11,Muller A.
48689,1,0.86746514,1.37,2024-11-06,Shapovalov D.
48075,1,0.8674278,1.89,2024-08-19,Svajda Z.
46837,1,0.86629397,1.76,2024-04-02,Goffin D.
48403,1,0.8661592,1.71,2024-10-04,Shelton B.
48719,1,0.8655094,2.59,2024-11-15,Ruud C.
48129,1,0.8647243,1.25,2024-08-26,Ruud C.
48071,1,0.86430436,1.94,2024-08-18,Cazaux A.
47755,1,0.86398524,1.02,2024-07-16,Nadal R.
47921,1,0.862751,,2024-07-29,Wolf J.J.
48287,1,0.8623095,2.42,2024-09-22,Kachmazov A.
47463,1,0.862165,1.61,2024-06-13,Raonic M.
47713,1,0.8619482,1.18,2024-07-08,De Minaur A.
47827,1,0.860709,1.63,2024-07-20,Michelsen A.
48119,1,0.8603401,2.65,2024-08-26,Nakashima B.
48633,1,0.85892177,1.37,2024-10-30,Humbert U.
48271,1,0.8579789,1.2,2024-09-20,Nakashima B.
47763,1,0.85686785,1.48,2024-07-16,Medjedovic H.
48727,1,0.85661095,2.6,2024-12-30,Sonego L.
47249,1,0.8552098,1.69,2024-05-20,Ruusuvuori E.
48735,1,0.8545157,1.54,2024-12-31,Opelka R.
48089,1,0.85447603,1.4,2024-08-20,Carreno Busta P.
47467,1,0.8544678,3.05,2024-06-14,Musetti L.
48588,0,0.8533747,4.27,2024-10-25,Musetti L.
46881,1,0.8526988,1.51,2024-04-05,Berrettini M.
48403,1,0.8524949,1.71,2024-10-04,Shelton B.
47355,1,0.8523224,1.11,2024-05-28,De Minaur A.
47315,1,0.85225344,1.54,2024-05-26,Nakashima B.
46955,1,0.852183,2.1,2024-04-15,Molleker R.
46763,1,0.85215634,2.93,2024-03-23,Shapovalov D.
48694,0,0.85201067,2.41,2024-11-07,Norrie C.
47221,1,0.8518354,1.56,2024-05-13,Hurkacz H.
47647,1,0.850224,24.44,2024-07-02,Comesana F.
47789,1,0.8498844,1.16,2024-07-17,Carballes Baena R.
47439,1,0.84982586,1.43,2024-06-11,Bergs Z.
48063,1,0.8489449,1.78,2024-08-17,Tiafoe F.
47421,1,0.848003,1.81,2024-06-07,Zverev A.
48697,1,0.84791327,1.43,2024-11-07,Lehecka J.
47927,1,0.84778553,1.52,2024-07-30,Albot R.
48251,1,0.8472911,2.05,2024-09-19,Vukic A.
46889,1,0.84577775,2.0,2024-04-06,Tiafoe F.
48071,1,0.8445862,1.94,2024-08-18,Cazaux A.
47767,1,0.8442952,1.74,2024-07-16,Lajovic D.
47159,1,0.8431055,1.43,2024-05-09,Carballes Baena R.
48195,1,0.8423506,1.17,2024-08-28,Tiafoe F.
46921,1,0.84184796,2.09,2024-04-09,Korda S.
48155,1,0.8412258,1.98,2024-08-27,Diallo G.
47673,1,0.8407056,4.56,2024-07-04,Ruusuvuori E.
48075,1,0.84044194,1.89,2024-08-19,Svajda Z.
48567,1,0.83891976,1.56,2024-10-23,Khachanov K.
47597,1,0.83891094,1.05,2024-07-01,Paul T.
48367,1,0.8384072,2.15,2024-10-02,Svajda Z.
48061,1,0.83780426,1.47,2024-08-16,Rublev A.
48723,1,0.83736753,2.08,2024-12-29,Vukic A.
46765,1,0.8362428,1.59,2024-03-23,Murray A.
47921,1,0.83505046,,2024-07-29,Wolf J.J.
48633,1,0.83462256,1.37,2024-10-30,Humbert U.
46991,1,0.83441585,1.65,2024-04-16,Machac T.
47741,1,0.83342767,1.68,2024-07-16,Skatov T.
48155,1,0.8330828,1.98,2024-08-27,Diallo G.
47213,1,0.8327152,2.54,2024-05-12,Zhang Zh.
48094,0,0.8320888,1.59,2024-08-20,Rinderknech A.
48509,1,0.8320888,1.52,2024-10-17,Khachanov K.
48415,1,0.8318857,2.92,2024-10-05,Shevchenko A.
47923,1,0.8317942,1.3,2024-07-30,Shapovalov D.
48129,1,0.83167404,1.25,2024-08-26,Ruud C.
48089,1,0.8311393,1.4,2024-08-20,Carreno Busta P.
46785,1,0.83108187,1.14,2024-03-24,Shelton B.
48295,1,0.8293389,1.26,2024-09-23,Musetti L.
48255,1,0.8289209,1.53,2024-09-19,Hanfmann Y.
46871,1,0.82776,2.62,2024-04-04,Moreno De Alboran N.
47330,0,0.8277364,1.31,2024-05-27,Zverev A.
48295,1,0.8274623,1.26,2024-09-23,Musetti L.
46841,1,0.8273106,2.66,2024-04-03,Kotov P.
47045,1,0.8273106,1.56,2024-04-20,Fritz T.
47909,1,0.8268454,2.61,2024-07-27,Thompson J.
47425,1,0.8264985,1.26,2024-06-10,Draper J.
48475,1,0.8238832,1.62,2024-10-15,Gaston H.
47085,1,0.82324547,1.76,2024-04-26,Paul T.
47306,0,0.82290727,1.21,2024-05-26,Korda S.
48719,1,0.8215323,2.59,2024-11-15,Ruud C.
48625,1,0.8214201,2.17,2024-10-29,Michelsen A.
46893,1,0.821371,1.42,2024-04-06,Berrettini M.
47423,1,0.8205215,1.36,2024-06-09,Alcaraz C.
48239,1,0.81930953,2.44,2024-09-04,Tiafoe F.
48727,1,0.8162853,2.6,2024-12-30,Sonego L.
48241,1,0.81587046,1.36,2024-09-05,Sinner J.
47513,1,0.815706,3.03,2024-06-19,Eubanks C.
48694,0,0.81463337,2.41,2024-11-07,Norrie C.
47254,0,0.81410974,1.28,2024-05-20,Koepfer D.
47123,1,0.81396115,2.96,2024-04-28,Griekspoor T.
48255,1,0.8132432,1.53,2024-09-19,Hanfmann Y.
47333,1,0.81311995,1.51,2024-05-27,Squire H.
47909,1,0.81292117,2.61,2024-07-27,Thompson J.
47859,1,0.8116578,1.21,2024-07-23,Rublev A.
48283,1,0.8115763,2.47,2024-09-21,Cilic M.
48327,1,0.8114355,1.41,2024-09-27,Safiullin R.
48631,1,0.80946726,1.8,2024-10-30,Khachanov K.
48061,1,0.8086795,1.47,2024-08-16,Rublev A.
48540,0,0.8086674,1.28,2024-10-21,Fils A.
48094,0,0.80831015,1.59,2024-08-20,Rinderknech A.
47778,0,0.80800813,1.5,2024-07-17,Eubanks C.
48585,1,0.8077145,1.65,2024-10-25,De Minaur A.
48415,1,0.807355,2.92,2024-10-05,Shevchenko A.
47363,1,0.80719113,1.01,2024-05-29,Alcaraz C.
47769,1,0.8067823,2.32,2024-07-16,Trungelliti M.
47553,1,0.8067653,1.65,2024-06-24,Shang J.
48321,1,0.80597353,1.65,2024-09-27,Draper J.
47633,1,0.80509233,1.03,2024-07-02,Zverev A.
48379,1,0.80442894,1.46,2024-10-03,Bellucci M.
47361,1,0.8043315,1.56,2024-05-29,Kotov P.
47747,1,0.8040698,1.46,2024-07-16,Rinderknech A.
48367,1,0.80348694,2.15,2024-10-02,Svajda Z.
47937,1,0.80337334,1.7,2024-07-31,Michelsen A.
48379,1,0.80272424,1.46,2024-10-03,Bellucci M.
46987,1,0.8026674,3.94,2024-04-16,Nakashima B.
47290,0,0.80239576,1.46,2024-05-23,Machac T.
48375,1,0.8021707,1.63,2024-10-02,Wu Y.
47531,1,0.8016141,1.9,2024-06-21,Zhang Zh.
47623,1,0.80111825,1.67,2024-07-01,Wawrinka S.
47568,0,0.8010019,1.58,2024-06-26,Tabilo A.
46793,1,0.8008567,1.3,2024-03-25,Khachanov K.
46962,0,0.80015534,1.87,2024-04-15,Hardt N.
47346,0,0.7987122,2.04,2024-05-28,Kokkinakis T.
48271,1,0.7972242,1.2,2024-09-20,Nakashima B.
47379,1,0.79686344,1.04,2024-05-30,Djokovic N.
48111,1,0.79636693,2.96,2024-08-22,Eubanks C.
47119,1,0.7963227,1.54,2024-04-28,Fritz T.
48239,1,0.79602873,2.44,2024-09-04,Tiafoe F.
47061,1,0.7939164,2.42,2024-04-24,Shang J.
48023,1,0.7928158,1.74,2024-08-13,Tiafoe F.
48161,1,0.79246104,3.66,2024-08-27,Mannarino A.
48375,1,0.79246104,1.63,2024-10-02,Wu Y.
47260,0,0.7908219,1.83,2024-05-21,Seyboth Wild T.
47229,1,0.79038596,1.72,2024-05-14,Fritz T.
48161,1,0.78933287,3.66,2024-08-27,Mannarino A.
48279,1,0.7890034,5.09,2024-09-21,Uchiyama Y.
48151,1,0.78886914,1.32,2024-08-27,Cobolli F.
48131,1,0.78882706,1.07,2024-08-26,Shelton B.
46825,1,0.788807,2.76,2024-04-02,Kovacevic A.
47923,1,0.78877807,1.3,2024-07-30,Shapovalov D.
47927,1,0.7877544,1.52,2024-07-30,Albot R.
48299,1,0.787566,2.35,2024-09-25,Navone M.
47730,0,0.7875594,1.89,2024-07-15,Djere L.
