match,PSW,win0,confidence0,date,,
35280,1.74,0,1.52961662,6/30/2021,-1,0.74
31379,2.46,1,1.529558414,6/24/2019,1.46,1.46
38077,1.94,0,1.529385755,7/29/2022,-1,0.94
33358,1.73,0,1.529290164,9/23/2020,-1,0.73
38727,1.46,0,1.52928617,10/19/2022,-1,0.46
34026,1.77,0,1.528890967,2/10/2021,-1,0.77
36729,2.37,1,1.528829853,2/16/2022,1.37,1.37
27115,2.57,1,1.528316906,2/20/2017,1.57,1.57
35084,1.68,0,1.528175955,6/11/2021,-1,0.68
27412,2.32,1,1.527601528,3/24/2017,1.32,1.32
34024,2.71,1,1.525943564,2/9/2021,1.71,1.71
32605,2.73,1,1.525880452,1/17/2020,1.73,1.73
38047,1.56,0,1.525475912,7/27/2022,-1,0.56
37147,1.75,0,1.524365098,4/12/2022,-1,0.75
32896,1.58,0,1.52385805,2/15/2020,-1,0.58
28469,2.33,1,1.522643417,7/28/2017,1.33,1.33
36558,2.12,1,1.522303747,2/2/2022,1.12,1.12
33541,2.31,1,1.521933059,10/14/2020,1.31,1.31
38633,2.11,1,1.521755747,10/6/2022,1.11,1.11
32403,1.55,0,1.52062922,10/21/2019,-1,0.55
35639,1.53,0,1.516320146,8/14/2021,-1,0.53
33716,1.74,0,1.515977786,11/3/2020,-1,0.74
36792,1.64,0,1.515733707,2/21/2022,-1,0.64
33380,1.71,0,1.515185558,9/27/2020,-1,0.71
32808,1.61,0,1.514508387,2/8/2020,-1,0.61
34189,1.58,0,1.513596335,3/2/2021,-1,0.58
30218,1.59,0,1.513448612,2/6/2019,-1,0.59
30634,2.1,1,1.513091874,3/21/2019,1.1,1.1
28583,2.23,1,1.511311868,8/4/2017,1.23,1.23
38361,2.22,1,1.511278022,8/30/2022,1.22,1.22
34689,2.45,1,1.510990745,4/28/2021,1.45,1.45
34263,1.56,0,1.510684717,3/10/2021,-1,0.56
34502,2.46,1,1.509006772,4/6/2021,1.46,1.46
38109,2.44,1,1.508911022,8/2/2022,1.44,1.44
31036,2.81,1,1.508071825,5/14/2019,1.81,1.81
35422,2.57,1,1.50769291,7/20/2021,1.57,1.57
27931,1.74,0,1.507128254,5/29/2017,-1,0.74
35395,1.75,0,1.506604455,7/16/2021,-1,0.75
36782,1.48,0,1.506159496,2/19/2022,-1,0.48
31545,1.55,0,1.506131257,7/14/2019,-1,0.55
38563,2.13,1,1.505391075,9/29/2022,1.13,1.13
27696,2.5,1,1.50530224,5/3/2017,1.5,1.5
31692,1.71,0,1.505183535,7/26/2019,-1,0.71
39238,2.83,1,1.505089406,2/13/2023,1.83,1.83
38253,1.75,0,1.503272947,8/17/2022,-1,0.75
33499,1.71,0,1.503135973,10/11/2020,-1,0.71
31013,2.71,1,1.501499758,5/12/2019,1.71,1.71
35334,2.44,1,1.500696912,7/12/2021,1.44,1.44
37764,2.13,1,1.50043101,6/23/2022,1.13,1.13
34280,2.66,1,1.499897603,3/11/2021,1.66,1.66
33744,1.63,0,1.498698611,11/5/2020,-1,0.63
30743,1.6,0,1.49734348,4/10/2019,-1,0.6
38945,1.69,0,1.495861756,1/4/2023,-1,0.69
36282,2.44,1,1.495126835,11/21/2021,1.44,1.44
37091,1.68,0,1.494338454,4/6/2022,-1,0.68
39227,2.22,1,1.494281062,2/11/2023,1.22,1.22
34874,1.5,0,1.492527886,5/21/2021,-1,0.5
31607,2.14,1,1.492121694,7/19/2019,1.14,1.14
37249,1.57,0,1.492026399,4/22/2022,-1,0.57
30246,2.24,1,1.491513933,2/8/2019,1.24,1.24
36126,1.75,0,1.490600952,10/24/2021,-1,0.75
