match,PSW,win0,confidence0,date,,
46395,1.71,0,1.500410954,4/24/2018,-1,-100
53541,1.71,0,1.500206495,7/17/2021,-1,-100
44078,2.09,1,1.499974168,5/28/2017,1.09,109
56573,2.39,1,1.497260355,9/21/2022,239,139
53008,1.5,0,1.497203899,5/21/2021,-1,-100
50397,2.62,1,1.496918789,10/3/2019,1.62,162
48643,1.6,0,1.496344471,2/27/2019,-1,-100
55258,1.56,0,1.494914702,4/12/2022,-100,-100
56697,2.09,1,1.493559749,10/3/2022,209,109
45519,1.6,0,1.492415877,1/3/2018,-1,-100
51761,2.44,1,1.492098783,10/22/2020,1.44,144
51641,1.71,0,1.49173306,10/11/2020,-1,-100
54909,1.65,0,1.489831643,2/21/2022,-100,-100
54195,1.51,0,1.489278811,10/13/2021,-1,-100
52239,2.33,1,1.489249761,2/23/2021,1.33,133
45919,2.16,1,1.488996856,2/20/2018,1.16,116
55284,2.16,1,1.488123526,4/14/2022,216,116
46104,1.56,0,1.487955217,3/10/2018,-1,-100
46738,1.72,0,1.486857019,5/29/2018,-1,-100
54500,1.71,0,1.485271161,1/13/2022,-100,-100
43005,1.72,0,1.484990247,1/16/2017,-1,-100
56405,2.3,1,1.48495835,8/23/2022,230,130
49238,2.36,1,1.484921128,5/20/2019,1.36,136
46011,2.24,1,1.483375969,2/27/2018,1.24,124
43361,1.99,1,1.482815051,2/27/2017,0.99,99
54912,1.76,0,1.48229349,2/21/2022,-100,-100
45452,2.37,1,1.481121345,11/14/2017,1.37,137
46065,1.52,0,1.48081612,3/4/2018,-1,-100
46183,1.87,0,1.480415012,3/22/2018,-1,-100
57245,1.77,0,1.479849807,1/23/2023,-100,-100
44714,2.2,1,1.479815498,8/3/2017,1.2,120
52169,1.78,0,1.479003602,2/10/2021,-1,-100
47399,1.66,0,1.478441109,8/8/2018,-1,-100
44496,1.65,0,1.478194814,7/18/2017,-1,-100
44810,1.99,0,1.47760231,8/14/2017,-1,-100
