match,PSW,win0,confidence0,date,,
32214,2.24,1,1.473575449,3/8/2019,1.24,124
30802,1.83,0,1.473149589,7/31/2018,-1,-100
30324,1.63,0,1.471992511,6/5/2018,-1,-100
34022,1.66,0,1.47194251,10/16/2019,-1,-100
30311,2.39,1,1.470971714,6/2/2018,1.39,139
32840,2.93,1,1.470558297,5/28/2019,1.93,193
39667,1.64,0,1.469501828,7/26/2022,-1,-100
33794,2.6,1,1.469351567,9/18/2019,1.6,160
38795,2.28,1,1.469250144,4/13/2022,1.28,128
30706,1.69,0,1.469100782,7/23/2018,-1,-100
36901,1.6,0,1.468911339,6/30/2021,-1,-100
33996,1.6,0,1.468156047,10/14/2019,-1,-100
35687,1.78,0,1.467218306,2/10/2021,-1,-100
39823,1.85,0,1.46662874,8/10/2022,-1,-100
40319,2.33,1,1.46604079,10/15/2022,1.33,133
34171,1.72,0,1.465131701,11/1/2019,-1,-100
33306,2.2,1,1.464760392,7/22/2019,1.2,120
33583,2.37,1,1.464049067,8/15/2019,1.37,137
34489,2.24,1,1.463265373,2/11/2020,1.24,124
37918,2.44,1,1.463083583,11/21/2021,1.44,144
35173,2.34,1,1.462997611,10/12/2020,1.34,134
37533,2.34,1,1.462351501,9/21/2021,1.34,134
35602,1.54,0,1.461951914,2/5/2021,-1,-100
33268,2.6,1,1.461785114,7/17/2019,1.6,160
38556,1.64,0,1.461703265,3/13/2022,-1,-100
37759,2.38,1,1.461481915,10/21/2021,1.38,138
30493,1.56,0,1.461242781,6/29/2018,-1,-100
36790,2.31,1,1.461105298,6/18/2021,1.31,131
39359,1.63,0,1.460836342,6/20/2022,-1,-100
31642,1.6,0,1.460396167,1/2/2019,-1,-100
30623,2.05,0,1.459636312,7/14/2018,-1,-100
29540,1.75,0,1.458923345,2/28/2018,-1,-100
32980,2.33,1,1.45646379,6/17/2019,1.33,133
35205,2.31,1,1.455642196,10/14/2020,1.31,131
29188,2.4,1,1.45504775,1/17/2018,1.4,140
35408,1.56,0,1.454479405,11/7/2020,-1,-100
40763,1.77,0,1.454043396,1/23/2023,-1,-100
38204,1.62,0,1.453945076,2/3/2022,-1,-100
29289,1.79,0,1.452304785,2/8/2018,-1,-100
37379,1.76,0,1.451821644,8/25/2021,-1,-100
34137,1.59,0,1.450851831,10/28/2019,-1,-100
36378,2.82,1,1.450109475,5/3/2021,1.82,182
29830,2.17,1,1.449827119,4/15/2018,1.17,117
31373,2.47,1,1.448233207,10/10/2018,1.47,147
35268,1.78,0,1.448125548,10/21/2020,-1,-100
33021,1.77,0,1.44727561,6/20/2019,-1,-100
39903,2.39,1,1.446927359,8/21/2022,1.39,139
35874,1.85,0,1.446585992,3/5/2021,-1,-100
30056,2.16,1,1.446318641,5/8/2018,1.16,116
34284,1.76,0,1.446278033,1/20/2020,-1,-100
35586,2.22,1,1.445873789,2/3/2021,1.22,122
39570,2.77,1,1.445686077,7/14/2022,1.77,177
32144,1.65,0,1.445226351,2/26/2019,-1,-100
37589,2.26,1,1.444752979,9/28/2021,1.26,126
34065,1.63,0,1.444598267,10/19/2019,-1,-100
37548,1.5,0,1.444573326,9/22/2021,-1,-100
38436,2.25,1,1.443752088,2/22/2022,1.25,125
36073,1.58,0,1.443550963,3/26/2021,-1,-100
35040,1.71,0,1.443115553,9/27/2020,-1,-100
34058,1.76,0,1.442303697,10/18/2019,-1,-100
40664,2.18,0,1.442168085,1/16/2023,-1,-100
32936,1.67,0,1.442070485,6/11/2019,-1,-100
31338,1.61,0,1.442028973,10/7/2018,-1,-100
34605,2.31,1,1.440926252,2/19/2020,1.31,131
33634,1.66,0,1.440483727,8/23/2019,-1,-100
37531,1.9,1,1.439331817,9/21/2021,0.9,90
37713,1.51,0,1.43928289,10/13/2021,-1,-100
37364,1.89,1,1.438882511,8/24/2021,0.89,89
33816,1.7,0,1.438516562,9/21/2019,-1,-100
31516,1.69,0,1.437140023,10/25/2018,-1,-100
29389,1.72,0,1.436607162,2/16/2018,-1,-100
31526,2.3,1,1.436417422,10/26/2018,1.3,130
33873,1.74,0,1.436392939,9/30/2019,-1,-100
36437,2.14,1,1.436049534,5/10/2021,1.14,114
33715,2.03,0,1.435880415,8/29/2019,-1,-100
36760,1.89,0,1.435843927,6/15/2021,-1,-100
40773,2.58,1,1.435812508,2/6/2023,1.58,158
37158,1.74,0,1.435736758,7/27/2021,-1,-100
31409,2.55,1,1.435339768,10/16/2018,1.55,155
29068,2.38,1,1.434990222,1/7/2018,1.38,138
29892,1.6,0,1.434404971,4/23/2018,-1,-100
29574,2.3,1,1.434378966,3/2/2018,1.3,130
35431,1.78,0,1.434371073,11/12/2020,-1,-100
32846,2.76,1,1.43396389,5/28/2019,1.76,176
35912,1.79,0,1.433270153,3/9/2021,-1,-100
36805,1.94,0,1.432910246,6/21/2021,-1,-100
29697,2.27,1,1.432765957,3/22/2018,1.27,127
32045,2.39,1,1.432667211,2/19/2019,1.39,139
33403,1.8,0,1.432265991,7/30/2019,-1,-100
34341,2.1,1,1.432099611,1/22/2020,1.1,110
29975,1.81,0,1.431968334,5/1/2018,-1,-100
40250,2.11,1,1.431186344,10/6/2022,1.11,111
38430,1.76,0,1.431178827,2/21/2022,-1,-100
29808,2.05,1,1.43114343,4/11/2018,1.05,105
32057,2.3,1,1.430353897,2/19/2019,1.3,130
33802,2.34,1,1.429722928,9/19/2019,1.34,134
30722,2.63,1,1.429562247,7/24/2018,1.63,163
30728,1.66,0,1.429401278,7/24/2018,-1,-100
29172,1.67,0,1.429272716,1/16/2018,-1,-100
35495,1.92,1,1.429079361,1/11/2021,0.92,92
40479,1.56,0,1.428533085,11/1/2022,-1,-100
34888,2.44,1,1.428407844,9/4/2020,1.44,144
34600,1.56,0,1.427244576,2/19/2020,-1,-100
30893,1.68,0,1.426798211,8/6/2018,-1,-100
38994,2.36,1,1.426749122,5/7/2022,1.36,136
36812,1.89,0,1.426632285,6/22/2021,-1,-100
40359,1.95,0,1.425217964,10/19/2022,-1,-100
36298,1.93,0,1.425052992,4/22/2021,-1,-100
30836,1.79,0,1.424921384,8/1/2018,-1,-100
39832,1.83,0,1.424913923,8/11/2022,-1,-100
33531,2.24,1,1.42484742,8/9/2019,1.24,124
38274,1.61,0,1.424232366,2/9/2022,-1,-100
38517,2.36,1,1.424070401,3/10/2022,1.36,136
34125,2.24,1,1.423967271,10/26/2019,1.24,124
37892,2.21,1,1.423952783,11/10/2021,1.21,121
35287,1.76,0,1.423706061,10/23/2020,-1,-100
39470,1.68,0,1.423387984,6/29/2022,-1,-100
29436,1.52,0,1.423064584,2/20/2018,-1,-100
38885,1.61,0,1.42305941,4/24/2022,-1,-100
38890,1.81,0,1.422586459,4/25/2022,-1,-100
39931,1.98,0,1.422075796,8/24/2022,-1,-100
36466,1.58,0,1.421489389,5/13/2021,-1,-100
30777,2.24,1,1.42060178,7/27/2018,1.24,124
32320,1.56,0,1.419503385,3/21/2019,-1,-100
33182,2.15,1,1.419465839,7/4/2019,1.15,115
37327,1.74,1,1.419406768,8/18/2021,0.74,74
40298,2.3,1,1.418546185,10/12/2022,1.3,130
37636,2.33,1,1.41837937,10/7/2021,1.33,133
33901,1.59,0,1.418368205,10/2/2019,-1,-100
31620,1.69,0,1.41821951,1/1/2019,-1,-100
36505,2.46,1,1.41747779,5/19/2021,1.46,146
34948,2.33,1,1.417428196,9/14/2020,1.33,133
36983,2.02,0,1.416678739,7/12/2021,-1,-100
36959,2,0,1.416598277,7/2/2021,-1,-100
38562,2.43,1,1.416537024,3/13/2022,1.43,143
38141,1.76,0,1.415346261,1/24/2022,-1,-100
40620,1.91,0,1.415063262,1/11/2023,-1,-100
