match,PSW,win0,confidence0,date,,
45984,1.74,0,1.436600306,2/26/2018,-1,-100
51259,1.57,0,1.436497979,8/25/2020,-1,-100
50339,2.46,1,1.436457831,9/26/2019,1.46,146
50148,1.75,0,1.435959479,8/26/2019,-1,-100
53148,1.72,0,1.435902709,6/2/2021,-1,-100
48154,2.16,1,1.43586472,1/4/2019,1.16,116
52283,2.32,1,1.434924564,2/25/2021,1.32,132
44091,1.75,0,1.433993879,5/29/2017,-1,-100
49252,1.54,0,1.433652414,5/22/2019,-1,-100
55225,2.04,1,1.433048435,4/8/2022,1.04,104
44265,1.93,0,1.432132311,6/20/2017,-1,-100
51251,1.61,0,1.432131413,8/24/2020,-1,-100
55012,1.58,0,1.43209642,3/11/2022,-1,-100
48008,2.3,1,1.432093568,10/26/2018,1.3,130
56815,1.93,0,1.431514236,10/18/2022,-1,-100
55841,1.63,0,1.431484437,6/20/2022,-1,-100
49340,1.78,0,1.431161893,5/28/2019,-1,-100
48747,1.64,0,1.431054398,3/11/2019,-1,-100
51641,1.71,0,1.430185262,10/11/2020,-1,-100
54999,2.36,1,1.429709435,3/10/2022,1.36,136
47689,1.67,0,1.42824093,9/20/2018,-1,-100
55235,2.48,1,1.427652704,4/9/2022,1.48,148
54788,2.27,1,1.427173192,2/12/2022,1.27,127
54215,2.1,1,1.426400496,10/19/2021,1.1,110
47998,1.69,0,1.426338197,10/25/2018,-1,-100
49409,1.83,0,1.426273635,6/10/2019,-1,-100
46479,2.37,1,1.426235222,5/2/2018,1.37,137
52017,2.48,1,1.426223942,2/2/2021,1.48,148
55367,1.61,0,1.42535989,4/24/2022,-1,-100
52190,1.78,0,1.425342629,2/11/2021,-1,-100
47646,2.47,1,1.424895092,9/5/2018,1.47,147
49750,2.6,1,1.424553947,7/17/2019,1.6,160
54466,1.89,0,1.424252713,1/11/2022,-1,-100
52487,1.69,0,1.423975359,3/17/2021,-1,-100
55035,2.54,1,1.423744003,3/12/2022,1.54,154
56229,1.63,0,1.423451212,8/3/2022,-1,-100
46034,1.68,0,1.423281126,2/28/2018,-1,-100
45654,1.67,0,1.422961383,1/16/2018,-1,-100
46276,1.97,1,1.422825112,4/10/2018,0.97,97
54181,1.67,0,1.422675914,10/12/2021,-1,-100
51549,1.53,0,1.422057563,9/28/2020,-1,-100
51125,2.49,1,1.420949287,2/22/2020,1.49,149
51806,2.55,1,1.420708501,10/28/2020,1.55,155
57068,1.76,1,1.420565353,1/6/2023,0.76,76
52248,1.69,0,1.420302359,2/23/2021,-1,-100
47188,1.69,0,1.419953868,7/23/2018,-1,-100
46666,2.11,0,1.419717225,5/23/2018,-1,-100
46952,1.81,0,1.419667569,6/27/2018,-1,-100
43831,1.54,0,1.4196671,5/1/2017,-1,-100
46969,2.17,1,1.419659592,6/28/2018,1.17,117
55622,2.17,1,1.419468496,5/23/2022,1.17,117
55150,1.59,0,1.419416445,3/27/2022,-1,-100
48428,1.84,1,1.419391418,2/11/2019,0.84,84
57070,2.25,1,1.419391036,1/6/2023,1.25,125
46411,2.5,1,1.419335641,4/25/2018,1.5,150
49965,2.27,1,1.418750304,8/4/2019,1.27,127
54411,2.15,1,1.418229692,1/4/2022,1.15,115
45804,2.36,1,1.417974141,2/11/2018,1.36,136
52877,1.64,0,1.417711657,5/4/2021,-1,-100
54911,1.64,0,1.417140888,2/21/2022,-1,-100
50163,1.68,0,1.416510608,8/27/2019,-1,-100
47848,1.63,0,1.416377379,10/9/2018,-1,-100
47105,2.05,0,1.416364648,7/14/2018,-1,-100
51042,1.73,0,1.415948267,2/16/2020,-1,-100
57048,1.69,0,1.415878454,1/4/2023,-1,-100
