match,PSW,win0,confidence0,date,winner,,,,,,,,,
50345,2.67,1,1.665908397,9/27/2019,Harris L.,,,,,,,,,
34374,2.8,1,1.664381635,8/5/2013,Paire B.,,,,,,,,,
46415,1.57,0,1.663345308,4/25/2018,Carreno Busta P.,,,,,,,,,
37147,1.54,0,1.661849476,8/28/2014,Querrey S.,,,,,,,,,
53500,1.48,0,1.661567126,7/13/2021,Sandgren T.,,,,,,,,,
57124,2.58,1,1.661529736,1/11/2023,Kwon S.W.,,,,,,,,,
57757,2.5,1,1.66134006,3/21/2023,Blancaneaux G.,,,,,,,,,
52162,2.71,1,1.661336301,2/9/2021,Andujar P.,,,,,,,,,
31092,1.51,0,1.658819269,5/29/2012,Schwank E.,,,,,,,,,
31732,1.57,0,1.655430912,8/8/2012,Cilic M.,,,,,,,,,
57414,2.46,1,1.653530985,2/16/2023,Mannarino A.,,,,,,,,,
44141,2.61,1,1.651549695,5/31/2017,Johnson S.,,,,,,,,,
44766,2.52,1,1.650586259,8/8/2017,Carreno Busta P.,,,,,,,,,
35903,1.47,0,1.64991156,4/16/2014,Fognini F.,,,,,,,,,
30482,1.54,0,1.649775305,3/10/2012,Dimitrov G.,,,,,,,,,
43332,1.6,0,1.64905633,2/23/2017,Darcis S.,,,,,,,,,
42250,1.6,0,1.648733675,8/22/2016,Edmund K.,,,,,,,,,
41662,1.57,0,1.64828361,6/15/2016,Mathieu P.H.,,,,,,,,,
37704,1.53,0,1.646078909,1/13/2015,Young D.,,,,,,,,,
48838,1.55,0,1.646028471,3/23/2019,Shapovalov D.,,,,,,,,,
47384,1.51,0,1.645866964,8/7/2018,Tsitsipas S.,,,,,,,,,
37479,2.26,1,1.645386412,10/20/2014,Herbert P.H.,,,,,,,,,
43866,2.5,1,1.645027337,5/3/2017,Tomic B.,,,,,,,,,
54456,1.51,0,1.642316172,1/10/2022,Sonego L.,,,,,,,,,
48782,2.34,1,1.64216511,3/20/2019,Carballes Baena R.,,,,,,,,,
35865,2.73,1,1.64027966,4/13/2014,Tursunov D.,,,,,,,,,
51982,1.68,0,1.640075693,1/11/2021,Harrison C.,,,,,,,,,
57409,1.56,0,1.639944422,2/16/2023,Cerundolo F.,,,,,,,,,
47748,1.45,0,1.639792907,9/28/2018,Fognini F.,,,,,,,,,
37193,2.52,1,1.63891806,9/3/2014,Nishikori K.,,,,,,,,,
36720,1.53,0,1.638524769,7/16/2014,Rosol L.,,,,,,,,,
46233,1.65,0,1.638104018,3/26/2018,Raonic M.,,,,,,,,,
50502,1.66,0,1.635749823,10/16/2019,Mannarino A.,,,,,,,,,
55361,1.55,0,1.634961113,4/22/2022,Carreno Busta P.,,,,,,,,,
53968,1.5,0,1.634750841,9/2/2021,Schwartzman D.,,,,,,,,,
53872,1.56,0,1.634352052,8/27/2021,Alcaraz C.,,,,,,,,,
34787,2.44,1,1.634017126,10/8/2013,Seppi A.,,,,,,,,,
42480,1.54,0,1.633020087,9/27/2016,Bellucci T.,,,,,,,,,
49805,1.44,0,1.631812165,7/23/2019,Ruud C.,,,,,,,,,
57852,2.75,1,1.630577385,3/27/2023,Barrios M.,1.75,87.5,,,,,,,1.75
38240,2.52,1,1.629743055,3/14/2015,Ramos-Vinolas A.,,0.82,,,,,,,
41418,2.34,1,1.626695325,5/17/2016,Anderson K.,,-1,,,,,,,
41977,2.08,1,1.626316271,7/19/2016,Nishioka Y.,,-1,,,,,,,
34622,1.55,0,1.625828017,8/30/2013,Benneteau J.,,-1,,,,,,,
43662,1.55,0,1.625261613,4/13/2017,Vesely J.,,0.34,,,,,,,
54087,2.52,1,1.62183724,9/30/2021,Giron M.,,0.24,,,,,,,
50643,1.6,0,1.619535367,10/30/2019,Thiem D.,,-1,,,,,,,
48124,1.6,0,1.619406001,1/2/2019,Paire B.,,-1,,,,,,,
32104,1.52,0,1.618546715,10/1/2012,Mayer F.,,0.62,,,,,,,
51394,1.54,0,1.617989825,9/8/2020,Hurkacz H.,,-1,,,,,,,
35813,1.53,0,1.617797656,4/7/2014,Berlocq C.,,0.24,,,,,,,
47928,1.53,0,1.617724998,10/18/2018,Monfils G.,,0.38,,,,,,,
32220,1.54,0,1.617338928,10/8/2012,Anderson K.,,0.25,,,,,,,
30497,2.83,1,1.617191383,3/11/2012,Giraldo S.,,0.18,,,,,,,
55043,1.64,0,1.616496871,3/13/2022,Harris L.,,-1,,,,,,,
41363,1.5,0,1.615655041,5/10/2016,Goffin D.,,0.22,,,,,,,
39715,2.41,1,1.615058117,9/1/2015,Bedene A.,,-1,,,,,,,
52846,2.45,1,1.613505515,5/1/2021,Ramos-Vinolas A.,,-1,,,,,,,
37867,2.12,1,1.612806671,2/2/2015,Berankis R.,,0.19,,,,,,,
38751,1.51,0,1.612384903,5/13/2015,Isner J.,,0.18,,,,,,,
43173,1.56,0,1.612050341,2/10/2017,Bautista Agut R.,,0.07,,,,,,,
31769,1.52,0,1.611857035,8/14/2012,Nishikori K.,,0.02,,,,,,,
47248,2.44,1,1.610910651,7/27/2018,Mayer L.,,0.33,,,,,,,
48017,2.74,1,1.610856936,10/28/2018,Anderson K.,,0.04,,,,,,,
37919,1.63,0,1.609821959,2/5/2015,Lorenzi P.,,-1,,,,,,,
47430,1.68,0,1.608996317,8/13/2018,Carreno Busta P.,,0.16,,,,,,,
47264,1.55,0,1.608601774,7/28/2018,Mayer L.,,0.88,,,,,,,
49144,2.21,1,1.607922778,5/8/2019,Verdasco F.,,0.35,,,,,,,
32558,1.6,0,1.606996063,1/7/2013,Lacko L.,,0.48,,,,,,,
38964,1.56,0,1.606117516,6/9/2015,Troicki V.,,0.11,,,,,,,
50750,2.15,1,1.605493271,1/17/2020,Harris L.,,0.27,,,,,,,
31325,1.59,0,1.604044627,6/25/2012,Tipsarevic J.,,-1,,,,,,,
52087,2.81,1,1.604010207,2/5/2021,Evans D.,,0.49,,,,,,,
46478,2.3,1,1.603341113,5/1/2018,Jarry N.,,0.48,,,,,,,
31263,1.67,0,1.603108522,6/19/2012,Malisse X.,,,,,,,,,
55162,1.59,0,1.602541245,3/27/2022,Sinner J.,,,,,,,,,
33653,1.51,0,1.602537235,5/22/2013,Roger-Vasselin E.,,,,,,,,,
52896,2.36,1,1.601834898,5/6/2021,Garin C.,,,,,,,,,
49945,2.27,1,1.601015651,8/1/2019,Sonego L.,,,,,,,,,
57570,1.57,0,1.599183845,3/1/2023,Hanfmann Y.,-1,-50,,,,,,,-1
42095,2.5,1,1.59880963,7/26/2016,Young D.,,,,,,,,,
55395,2.72,1,1.5984368,4/26/2022,Gasquet R.,,,,,,,,,
47890,1.53,0,1.598258937,10/16/2018,Paire B.,,,,,,,,,
49724,1.65,0,1.598240887,7/16/2019,Novak D.,,,,,,,,,
43106,1.63,0,1.597890001,1/25/2017,Dimitrov G.,,,,,,,,,
36681,2.74,1,1.597774348,7/12/2014,Bautista R.,,,,,,,,,
50545,1.63,0,1.597585354,10/19/2019,Rublev A.,,,,,,,,,
40765,2.63,1,1.596383584,2/23/2016,Tursunov D.,,,,,,,,,
36105,2.63,1,1.596110069,5/11/2014,Melzer J.,,,,,,,,,
55291,2.16,1,1.595107341,4/14/2022,Davidovich Fokina A.,,,,,,,,,
53252,1.68,0,1.594232392,6/15/2021,Humbert U.,,,,,,,,,
52073,2.24,1,1.592677574,2/4/2021,Travaglia S.,,,,,,,,,
57055,2.72,1,1.5925199,1/3/2023,Bautista Agut R.,,,,,,,,,
54579,2.62,1,1.592310891,1/19/2022,Albot R.,,,,,,,,,
49251,1.54,0,1.592275247,5/22/2019,Fritz T.,,,,,,,,,
49205,2.41,1,1.592121718,5/16/2019,Schwartzman D.,,,,,,,,,
53875,1.59,0,1.592025334,8/28/2021,Ivashka I.,,,,,,,,,
41632,2.52,1,1.591462356,6/12/2016,Thiem D.,,,,,,,,,
41697,1.6,0,1.591419564,6/20/2016,Dodig I.,,,,,,,,,
53353,1.47,0,1.591011804,6/28/2021,Seppi A.,,,,,,,,,
47799,1.78,0,1.590612803,10/4/2018,Struff J.L.,,,,,,,,,
51372,1.58,0,1.590034752,9/4/2020,Auger-Aliassime F.,,,,,,,,,
36516,1.54,0,1.589732033,6/24/2014,Istomin D.,,,,,,,,,
47741,1.53,0,1.589662563,9/27/2018,Querrey S.,,,,,,,,,
30118,1.5,0,1.588399773,1/31/2012,Youzhny M.,,,,,,,,,
48704,2.52,1,1.5869178,3/8/2019,Mayer L.,,,,,,,,,
41884,2.96,1,1.586912767,7/12/2016,Olivo R.,,,,,,,,,
49955,1.64,0,1.586632818,8/2/2019,Ramos-Vinolas A.,,,,,,,,,
32813,2.6,1,1.586602352,2/9/2013,Paire B.,,,,,,,,,
