match,PSW,win0,confidence0,date,winner,,,
53561,1.59,0,1.65489201,7/20/2021,Dzumhur D.,-1,-100,
35371,1.63,0,1.653221869,2/10/2014,Granollers M.,-1,-100,
40742,2.83,1,1.653149944,2/21/2016,Querrey S.,1.83,183,
54487,1.61,0,1.652886992,1/12/2022,Opelka R.,-1,-100,
41632,2.52,1,1.652127612,6/12/2016,Thiem D.,1.52,152,
53775,2.36,1,1.651161984,8/15/2021,Paire B.,1.36,136,
30501,1.52,0,1.650552713,3/12/2012,Almagro N.,-1,-100,
34947,2.94,1,1.647055352,10/24/2013,Chardy J.,1.94,194,
45155,1.71,0,1.646541557,10/3/2017,Schwartzman D.,-1,-100,
35987,1.61,0,1.645903811,4/25/2014,Nishikori K.,-1,-100,
57448,1.67,0,1.644250563,2/21/2023,Van De Zandschulp B.,-1,-100,
55515,1.66,0,1.643041821,5/11/2022,De Minaur A.,-1,-100,
34507,2.71,1,1.642962283,8/20/2013,Nieminen J.,1.71,171,
50403,1.63,0,1.642538864,10/4/2019,Khachanov K.,-1,-100,
47429,1.64,0,1.641877263,8/13/2018,Mayer L.,-1,-100,
47371,2.59,1,1.64067013,8/6/2018,Polansky P.,1.59,159,
47365,1.63,0,1.640385459,8/4/2018,Zverev A.,-1,-100,
37872,2.12,1,1.638489695,2/2/2015,Berankis R.,1.12,112,
51976,1.48,0,1.638455232,1/10/2021,Isner J.,-1,-100,
32221,1.54,0,1.63768398,10/8/2012,Anderson K.,-1,-100,
41397,2.93,1,1.6372194,5/15/2016,Murray A.,1.93,193,
47698,1.5,0,1.637087926,9/21/2018,Wawrinka S.,-1,-100,
47746,1.54,0,1.636880419,9/28/2018,Sousa J.,-1,-100,
32698,1.4,0,1.636683797,1/17/2013,Kavcic B.,-1,-100,
42741,2.85,1,1.635704457,10/25/2016,Lorenzi P.,1.85,185,
32171,2.62,1,1.635162925,10/4/2012,Baghdatis M.,1.62,162,
42419,1.65,0,1.634860453,9/19/2016,Benneteau J.,-1,-100,
46921,1.76,0,1.634026126,6/23/2018,Cilic M.,-1,-100,
51126,1.61,0,1.633756347,2/23/2020,Garin C.,-1,-100,
47262,1.55,0,1.631944105,7/28/2018,Mayer L.,-1,-100,
34999,2.06,1,1.630330164,10/31/2013,Berdych T.,1.06,106,
50959,2.51,1,1.629547672,2/9/2020,Vesely J.,1.51,151,
42539,1.52,0,1.628892955,10/4/2016,Simon G.,-1,-100,
34263,2.3,1,1.628863411,7/25/2013,Granollers M.,1.3,130,
49757,1.58,0,1.627827199,7/18/2019,Gasquet R.,-1,-100,
55251,1.53,0,1.627775345,4/11/2022,Schwartzman D.,-1,-100,
38230,1.61,0,1.626556142,3/13/2015,Baghdatis M.,-1,-100,
38981,1.56,0,1.626439885,6/10/2015,Muller G.,-1,-100,
48980,1.74,0,1.625726025,4/19/2019,Lajovic D.,-1,-100,
36909,1.71,0,1.625381936,8/1/2014,Thiem D.,-1,-100,
57551,1.57,0,1.625028947,3/1/2023,Hanfmann Y.,-1,-100,
42193,1.65,0,1.624487057,8/15/2016,Anderson K.,-1,-100,
39730,1.73,0,1.623956372,9/2/2015,Fognini F.,-1,-100,
36157,1.57,0,1.623405311,5/18/2014,Delbonis F.,-1,-100,
53027,2.23,1,1.623388847,5/24/2021,Cuevas P.,1.23,123,
54897,2.64,1,1.621945991,2/19/2022,Millman J.,1.64,164,
44549,2.43,1,1.621179873,7/21/2017,Giannessi A.,1.43,143,
41057,2.73,1,1.620045574,4/7/2016,Garcia-Lopez G.,1.73,173,
42078,1.73,0,1.61870581,7/24/2016,Lopez F.,-1,-100,
47607,1.53,0,1.618571506,8/30/2018,Struff J.L.,-1,-100,
48054,1.56,0,1.618541723,11/1/2018,Khachanov K.,-1,-100,
38821,1.53,0,1.618539635,5/22/2015,Bellucci T.,-1,-100,
