match,PSW,win0,confidence0,date,winner,panel agree?,vote_percent,mean conf,correct result?,,ROI
47377,1.49,0,1.657122606,8/6/2018,Herbert P.H.,,,,,,
35020,1.56,0,1.655025524,11/8/2013,Wawrinka S.,,,,,,
42579,2.66,1,1.653290937,10/8/2016,Goffin D.,,,,,,
53290,1.6,0,1.652965075,6/21/2021,Travaglia S.,,,,,,
47752,2.6,1,1.652354553,9/28/2018,Fritz T.,,,,,,
46921,1.76,0,1.648622184,6/23/2018,Cilic M.,,,,,,
33803,1.53,0,1.647776143,6/10/2013,Evans D.,,,,,,
55018,1.52,0,1.647728152,3/11/2022,Martinez P.,,,,,,
32598,1.57,0,1.647667921,1/10/2013,Anderson K.,,,,,,
44692,2.44,1,1.647585028,8/2/2017,Tursunov D.,,,,,,
53487,1.48,0,1.646954774,7/13/2021,Sandgren T.,,,,,,
41094,1.45,0,1.646345213,4/12/2016,Bautista Agut R.,,,,,,
52414,1.56,0,1.645868157,3/10/2021,Rune H.,,,,,,
47745,2.65,1,1.645760387,9/28/2018,Verdasco F.,,,,,,
42093,2.5,1,1.645265743,7/26/2016,Young D.,,,,,,
53002,2.58,1,1.644871801,5/20/2021,Cuevas P.,,,,,,
34426,3.03,1,1.644571655,8/11/2013,Nadal R.,,,,,,
30983,2.43,1,1.642475521,5/16/2012,Seppi A.,,,,,,
49718,1.57,0,1.641878096,7/16/2019,Jarry N.,,,,,,
33253,1.57,0,1.641647689,3/25/2013,Cilic M.,,,,,,
34787,2.44,1,1.640773688,10/8/2013,Seppi A.,,,,,,
35257,1.59,0,1.6405826,1/17/2014,Mayer F.,,,,,,
38025,1.53,0,1.640276403,2/14/2015,Anderson K.,,,,,,
35103,2.45,1,1.638412536,1/4/2014,Hewitt L.,,,,,,
41446,1.62,0,1.638114157,5/20/2016,Zverev A.,,,,,,
49169,2.71,1,1.637440101,5/12/2019,Basilashvili N.,,,,,,
35550,2.55,1,1.636895986,2/25/2014,Rosol L.,,,,,,
41327,1.58,0,1.636757138,5/4/2016,Bautista Agut R.,,,,,,
51520,1.71,0,1.636409714,9/27/2020,Cecchinato M.,,,,,,
34401,1.69,0,1.6347572,8/7/2013,Raonic M.,,,,,,
32386,2.72,1,1.633508797,10/24/2012,Gasquet R.,,,,,,
56787,2.3,1,1.633418136,10/12/2022,Wolf J.J.,,,,,,
38233,1.61,0,1.632740229,3/13/2015,Baghdatis M.,,,,,,
55289,2.16,1,1.629243119,4/14/2022,Davidovich Fokina A.,,,,,,
33409,1.48,0,1.627862446,4/23/2013,Rosol L.,,,,,,
56016,1.63,0,1.627455685,7/8/2022,Kyrgios N.,,,,,,
39014,2.55,1,1.627426225,6/15/2015,Coric B.,,,,,,
43846,1.68,0,1.626758733,5/2/2017,Khachanov K.,,,,,,
41884,2.96,1,1.625786001,7/12/2016,Olivo R.,,,,,,
52780,1.77,0,1.625356753,4/22/2021,Sinner J.,,,,,,
34644,1.59,0,1.624806423,9/3/2013,Youzhny M.,,,,,,
56615,1.67,0,1.623844277,9/24/2022,Bublik A.,,,,,,
40098,1.76,0,1.623387715,10/24/2015,Bautista R.,,,,,,
34998,2.06,1,1.623089394,10/31/2013,Berdych T.,,,,,,
38601,2.62,1,1.620664097,4/28/2015,Istomin D.,,,,,,
48120,1.6,0,1.620389103,1/2/2019,Paire B.,,,,,,
52119,1.56,0,1.620106987,2/8/2021,Ruusuvuori E.,,,,,,
52603,1.56,0,1.619532081,3/30/2021,Bautista Agut R.,,,,,,
55516,2.44,1,1.619316152,5/11/2022,Cilic M.,,,,,,
46054,1.74,0,1.616933651,3/2/2018,Anderson K.,,,,,,
53347,1.47,0,1.615183253,6/28/2021,Seppi A.,,,,,,
39373,1.51,0,1.614093814,7/28/2015,Robredo T.,,,,,,
29899,2.62,1,1.612968197,1/6/2012,Tsonga J.W.,,,,,,
44643,1.66,0,1.612682801,7/29/2017,Isner J.,,,,,,
37750,2.4,1,1.611871338,1/19/2015,Kokkinakis T.,,,,,,
33726,1.51,0,1.611577027,5/28/2013,Hanescu V.,,,,,,
51856,1.74,0,1.611251789,11/3/2020,Kecmanovic M.,,,,,,
42538,1.52,0,1.610285034,10/4/2016,Simon G.,,,,,,
39057,2.21,1,1.609396617,6/19/2015,Troicki V.,,,,,,
57259,1.64,0,1.609392081,1/22/2023,Korda S.,,,,,,
54732,2.26,1,1.60823568,2/8/2022,Sock J.,,,,,,
46232,1.65,0,1.606935574,3/26/2018,Raonic M.,,,,,,
38466,2.64,1,1.606823579,4/13/2015,Stakhovsky S.,,,,,,
44583,1.56,0,1.606272354,7/25/2017,Kohlschreiber P.,,,,,,
55808,1.66,0,1.605435456,6/15/2022,Kyrgios N.,,,,,,
36475,1.61,0,1.604942948,6/20/2014,Gasquet R.,,,,,,
43303,1.43,0,1.604425871,2/21/2017,Basilashvili N.,,,,,,
57732,1.63,0,1.603894623,3/18/2023,Alcaraz C.,-1,,,,,
43175,1.56,0,1.603576276,2/10/2017,Bautista Agut R.,,,,,,
57723,2.63,1,1.602174212,3/17/2023,Struff J.L.,1.63,,,,,
44881,1.51,0,1.601086034,8/22/2017,Struff J.L.,,,,,,
51903,1.58,0,1.600280375,11/10/2020,Sinner J.,,,,,,
44720,1.67,0,1.600196379,8/3/2017,Sousa J.,,,,,,
37867,2.12,1,1.599920831,2/2/2015,Berankis R.,,,,,,
34286,2.34,1,1.599107544,7/26/2013,Hewitt L.,,,,,,
43265,2.36,1,1.598864828,2/18/2017,Dolgopolov O.,,,,,,
35867,2.62,1,1.598320284,4/13/2014,Garcia-Lopez G.,,,,,,
42971,1.65,0,1.597458511,1/12/2017,Muller G.,,,,,,
41501,1.68,0,1.59732652,5/24/2016,Jaziri M.,,,,,,
46975,1.56,0,1.597205462,6/29/2018,Zverev M.,,,,,,
50293,1.53,0,1.596938331,9/20/2019,Tsonga J.W.,,,,,,
31490,1.51,0,1.596780436,7/11/2012,Van Der Merwe I.,,,,,,
53565,2.37,1,1.595777395,7/20/2021,Mager G.,,,,,,
49210,2.43,1,1.595386289,5/16/2019,Del Potro J.M.,,,,,,
53562,1.59,0,1.595064277,7/20/2021,Dzumhur D.,,,,,,
49991,1.6,0,1.593870542,8/7/2019,Medvedev D.,,,,,,
54984,1.6,0,1.592872262,2/25/2022,Ramos-Vinolas A.,,,,,,
46898,2.66,1,1.592131999,6/20/2018,Kudla D.,,,,,,
48506,2.45,1,1.59201401,2/17/2019,Monfils G.,,,,,,
55257,1.53,0,1.591894636,4/11/2022,Schwartzman D.,,,,,,
38403,2.67,1,1.591106888,4/6/2015,Kukushkin M.,,,,,,
47394,1.67,0,1.591070382,8/8/2018,Shapovalov D.,,,,,,
54904,1.61,0,1.589368783,2/19/2022,Alcaraz C.,,,,,,
48593,2.76,1,1.588271723,2/24/2019,Albot R.,,,,,,
41320,2.52,1,1.58800853,5/4/2016,Sock J.,,,,,,
51488,2.51,1,1.587930001,9/22/2020,Bublik A.,,,,,,
49510,1.69,0,1.587660814,6/21/2019,Berrettini M.,,,,,,
56587,2.39,1,1.58744158,9/21/2022,Ymer M.,,,,,,
56396,1.59,0,1.587328538,8/21/2022,Kwon S.W.,,,,,,
42438,1.64,0,1.586715914,9/21/2016,Struff J.L.,,,,,,
48020,2.35,1,1.585408389,10/29/2018,Dzumhur D.,,,,,,
38979,1.56,0,1.585394133,6/10/2015,Muller G.,,,,,,
32698,1.4,0,1.585068804,1/17/2013,Kavcic B.,,,,,,
50027,1.62,0,1.584764031,8/12/2019,Querrey S.,,,,,,
45261,2.67,1,1.58443267,10/16/2017,Sela D.,,,,,,
35704,1.5,0,1.584200683,3/12/2014,Dolgopolov O.,,,,,,
49562,1.74,0,1.584172991,6/27/2019,Kecmanovic M.,,,,,,
49809,1.49,0,1.583610241,7/23/2019,Gasquet R.,,,,,,
35863,1.53,0,1.583060454,4/12/2014,Verdasco F.,,,,,,
57920,2.62,1,1.582273179,3/28/2023,Neuchrist M.,1.62,,,,,-1
40756,1.52,0,1.582238376,2/22/2016,Marchenko I.,,,,,,
37341,1.83,0,1.58147632,10/5/2014,Bautista R.,,,,,,
45868,1.72,0,1.580997407,2/16/2018,Goffin D.,,,,,,
30111,1.5,0,1.580090864,1/31/2012,Youzhny M.,,,,,,
37445,1.65,0,1.579209777,10/16/2014,Troicki V.,,,,,,
53007,1.5,0,1.578364958,5/21/2021,Shapovalov D.,,,,,,
52104,1.48,0,1.578273288,2/8/2021,Shapovalov D.,,,,,,
49555,2.42,1,1.577459366,6/26/2019,Troicki V.,,,,,,
40571,2.69,1,1.574184972,2/7/2016,Bautista R.,,,,,,
53238,1.56,0,1.573470353,6/15/2021,Evans D.,,,,,,
46208,1.62,0,1.572805274,3/24/2018,Sock J.,,,,,,
57810,2.53,1,1.572189197,3/25/2023,Lajovic D.,1.53,,,,,
48312,2.74,1,1.572187787,1/18/2019,Bautista Agut R.,,,,,,
46806,1.63,0,1.571834454,6/5/2018,Thiem D.,,,,,,
55220,1.68,0,1.571528866,4/6/2022,Kyrgios N.,,,,,,
36105,2.63,1,1.571461845,5/11/2014,Melzer J.,,,,,,
48423,1.67,0,1.569948208,2/11/2019,Seppi A.,,,,,,
56231,2.39,1,1.568998096,8/2/2022,Paire B.,,,,,,
35865,2.73,1,1.568041685,4/13/2014,Tursunov D.,,,,,,
44826,2.32,1,1.567620481,8/15/2017,Ramanathan R.,,,,,,
55522,2.86,1,1.566958837,5/11/2022,Khachanov K.,,,,,,
49729,1.65,0,1.566714819,7/16/2019,Novak D.,,,,,,
36160,1.57,0,1.566098397,5/18/2014,Delbonis F.,,,,,,
53608,1.63,0,1.566017881,7/23/2021,Djere L.,,,,,,
47647,2.47,1,1.565760527,9/5/2018,Nishikori K.,,,,,,
55021,1.58,0,1.565240713,3/11/2022,Wolf J.J.,,,,,,
48777,1.47,0,1.565136348,3/16/2019,Federer R.,,,,,,
49795,1.44,0,1.563949964,7/23/2019,Ruud C.,,,,,,
55383,2.13,1,1.562121623,4/25/2022,Borges N.,,,,,,
49874,1.77,0,1.561691515,7/29/2019,Carballes Baena R.,,,,,,
37270,1.56,0,1.561481426,9/26/2014,Benneteau J.,,,,,,
34133,2.54,1,1.560974056,7/12/2013,Dimitrov G.,,,,,,
38405,2.55,1,1.5609639,4/7/2015,Tipsarevic J.,,,,,,
44773,2.75,1,1.560272411,8/8/2017,Lorenzi P.,,,,,,
32812,2.6,1,1.559457629,2/9/2013,Paire B.,,,,,,
33430,1.59,0,1.559369016,4/25/2013,Bellucci T.,,,,,,
54093,2.52,1,1.55688391,9/30/2021,Giron M.,,,,,,
41668,1.45,0,1.556441217,6/15/2016,Baghdatis M.,,,,,,
50243,2.65,1,1.556398174,9/4/2019,Berrettini M.,,,,,,
37915,1.63,0,1.555975181,2/5/2015,Lorenzi P.,,,,,,
30023,2.31,1,1.55594534,1/17/2012,Llodra M.,,,,,,
54610,2.23,1,1.555116927,1/21/2022,Berrettini M.,,,,,,
52841,1.63,0,1.554894512,4/30/2021,Ramos-Vinolas A.,,,,,,
33752,1.66,0,1.554682184,5/30/2013,Hanescu V.,,,,,,
43859,2.5,1,1.55450987,5/3/2017,Tomic B.,,,,,,
56330,2.51,1,1.553191017,8/12/2022,Ruud C.,,,,,,
40852,1.72,0,1.552285282,3/11/2016,Harrison R.,,,,,,
51270,1.62,0,1.552262739,8/26/2020,Raonic M.,,,,,,
43942,1.54,0,1.551754471,5/11/2017,Thiem D.,,,,,,
53874,2.84,1,1.551168219,8/28/2021,Ymer M.,,,,,,
42800,1.57,0,1.550820976,11/1/2016,Troicki V.,,,,,,
47734,1.59,0,1.550748986,9/26/2018,Sousa J.,,,,,,
40848,1.68,0,1.549374834,3/11/2016,Zverev A.,,,,,,
54917,1.65,0,1.548900895,2/21/2022,Londero J.I.,,,,,,
41961,1.64,0,1.548776373,7/18/2016,Ymer E.,,,,,,
37436,1.61,0,1.548094661,10/15/2014,Sock J.,,,,,,
51750,1.78,0,1.547387817,10/21/2020,Evans D.,,,,,,
46249,2.38,1,1.547129638,3/28/2018,Zverev A.,,,,,,
44549,2.43,1,1.547116108,7/21/2017,Giannessi A.,,,,,,
51655,2.34,1,1.546082512,10/12/2020,Karatsev A.,,,,,,
51093,1.56,0,1.545163875,2/19/2020,Garin C.,,,,,,
43662,1.55,0,1.544610671,4/13/2017,Vesely J.,,,,,,
56130,1.51,0,1.544395604,7/25/2022,Misolic F.,,,,,,
40415,2.56,1,1.544200605,1/19/2016,Groth S.,,,,,,
41427,1.69,0,1.544199485,5/17/2016,Istomin D.,,,,,,
35793,2.26,1,1.543973485,3/24/2014,Fognini F.,,,,,,
54151,1.58,0,1.543545876,10/9/2021,Vukic A.,,,,,,
55382,1.6,0,1.543363362,4/25/2022,Kwon S.W.,,,,,,
54742,1.49,0,1.542799561,2/8/2022,Delbonis F.,,,,,,
