match,PSW,win0,confidence0,date,winner,return,,,
34822,1.38,0,1.818624282,10/13/2013,Djokovic N.,,,,
43091,1.64,0,1.817163195,1/21/2017,Dimitrov G.,,,,
30634,2.35,1,1.816957121,4/10/2012,Lorenzi P.,,,,
35159,1.51,0,1.816151788,1/10/2014,Isner J.,,,,
55520,2.86,1,1.814597968,5/11/2022,Khachanov K.,,,,
32868,2.73,1,1.814436341,2/14/2013,Baghdatis M.,,,,
55220,1.68,0,1.813336914,4/6/2022,Kyrgios N.,,,,
39180,1.42,0,1.811831093,7/1/2015,Mayer L.,,,,
47212,2.63,1,1.811247216,7/24/2018,Monteiro T.,,,,
30529,1.49,0,1.810566199,3/16/2012,Federer R.,,,,
50918,2.98,1,1.810143476,2/5/2020,Barrere G.,,,,
41159,1.43,0,1.808312869,4/19/2016,Granollers M.,,,,
47887,1.53,0,1.806869516,10/16/2018,Paire B.,,,,
53287,1.6,0,1.80668994,6/21/2021,Travaglia S.,,,,
40229,1.5,0,1.806617136,1/4/2016,Haase R.,,,,
45602,2.95,1,1.806312411,1/15/2018,Sugita Y.,,,,
44289,2.56,1,1.805492554,6/22/2017,Mayer F.,,,,
40611,1.57,0,1.804058037,2/10/2016,Troicki V.,,,,
53000,2.58,1,1.803917212,5/20/2021,Cuevas P.,,,,
55521,1.66,0,1.803314508,5/11/2022,De Minaur A.,,,,
47401,2.8,1,1.801979995,8/8/2018,Ivashka I.,,,,
47754,1.69,0,1.801396245,9/29/2018,Fognini F.,,,,
38157,1.65,0,1.798865206,2/24/2015,Baghdatis M.,,,,
56069,1.57,0,1.797407064,7/16/2022,Bublik A.,,,,
53093,1.64,0,1.795795181,5/31/2021,Majchrzak K.,,,,
44580,2.71,1,1.79502542,7/25/2017,Monteiro T.,,,,
53010,1.5,0,1.794973312,5/21/2021,Shapovalov D.,,,,
34480,2.85,1,1.794763178,8/17/2013,Isner J.,,,,
33090,2.53,1,1.793173264,3/7/2013,Mayer L.,,,,
33435,2.62,1,1.791432544,4/26/2013,Ramos A.,,,,
51969,1.48,0,1.790667064,1/10/2021,Isner J.,,,,
46806,1.63,0,1.79058275,6/5/2018,Thiem D.,,,,
32216,1.54,0,1.79021655,10/8/2012,Anderson K.,,,,
47140,1.51,0,1.788799689,7/17/2018,Bolelli S.,,,,
54034,2.6,1,1.788008502,9/23/2021,Giron M.,,,,
47359,1.68,0,1.787970514,8/3/2018,Klizan M.,,,,
52838,2.6,1,1.78788384,4/29/2021,Moutet C.,,,,
52075,2.41,1,1.787421031,2/4/2021,Khachanov K.,,,,
47393,2.94,1,1.78709422,8/7/2018,Wawrinka S.,,,,
34893,1.84,0,1.783943242,10/18/2013,Rosol L.,,,,
56652,1.6,0,1.782846249,9/28/2022,Cilic M.,,,,
52637,2.67,1,1.782268995,4/6/2021,Kovalik J.,,,,
54779,1.55,0,1.780354457,2/11/2022,Mannarino A.,,,,
37518,1.61,0,1.779411466,10/23/2014,Dimitrov G.,,,,
46732,1.5,0,1.778847185,5/29/2018,Johnson S.,,,,
53775,2.36,1,1.778054262,8/15/2021,Paire B.,,,,
49727,1.57,0,1.777354647,7/16/2019,Jarry N.,,,,
37907,1.56,0,1.774660408,2/4/2015,Janowicz J.,,,,
47492,2.29,1,1.77462033,8/20/2018,Seppi A.,,,,
34374,2.8,1,1.773036012,8/5/2013,Paire B.,,,,
42412,2.45,1,1.77283433,9/8/2016,Wawrinka S.,,,,
36103,2.63,1,1.772188883,5/11/2014,Melzer J.,,,,
36434,1.37,0,1.771716569,6/16/2014,Tomic B.,,,,
34883,2.36,1,1.771296141,10/18/2013,Haase R.,,,,
37734,2.64,1,1.771248161,1/15/2015,Kukushkin M.,,,,
32830,1.48,0,1.769406421,2/12/2013,Hewitt L.,,,,
32181,2.52,1,1.768486765,10/4/2012,Lacko L.,,,,
53465,2.22,1,1.767754415,7/12/2021,Kohlschreiber P.,,,,
32100,2.37,1,1.767624939,10/1/2012,Bautista R.,,,,
39028,2.23,1,1.766816806,6/16/2015,Seppi A.,,,,
55419,2.81,1,1.763284138,4/29/2022,Tiafoe F.,,,,
50296,1.53,0,1.762469084,9/20/2019,Tsonga J.W.,,,,
50506,1.66,0,1.762360611,10/16/2019,Mannarino A.,,,,
41263,1.53,0,1.761342657,4/28/2016,Almagro N.,,,,
41820,2.29,1,1.7612351,6/30/2016,Pouille L.,,,,
36680,2.3,1,1.760759031,7/12/2014,Rosol L.,,,,
32718,3.1,1,1.760069072,1/19/2013,Seppi A.,,,,
57535,2.24,1,1.759725189,2/28/2023,Cecchinato M.,,,,
51818,2.6,1,1.759676003,10/29/2020,Sonego L.,,,,
45297,1.67,0,1.759441252,10/18/2017,Troicki V.,,,,
41440,2.2,1,1.759254105,5/19/2016,Sousa J.,,,,
42557,1.54,0,1.758799708,10/5/2016,Dimitrov G.,,,,
55091,2.72,1,1.758459427,3/19/2022,Fritz T.,,,,
48789,1.56,0,1.757620281,3/21/2019,Auger-Aliassime F.,,,,
42069,1.52,0,1.757579278,7/23/2016,Zverev A.,,,,
37444,1.65,0,1.756400046,10/16/2014,Troicki V.,,,,
48016,2.74,1,1.756280413,10/28/2018,Anderson K.,,,,
31734,1.57,0,1.755341767,8/8/2012,Cilic M.,,,,
49565,1.74,0,1.755339755,6/27/2019,Kecmanovic M.,,,,
55863,1.6,0,1.754748225,6/22/2022,Tsitsipas S.,,,,
57080,1.51,0,1.753454579,1/5/2023,Shapovalov D.,,,,
38025,1.53,0,1.752665707,2/14/2015,Anderson K.,,,,
48102,1.69,0,1.752613313,1/1/2019,Fucsovics M.,,,,
52394,2.4,1,1.752546644,3/9/2021,Martin A.,,,,
45115,2.58,1,1.751083804,9/27/2017,Donaldson J.,,,,
52054,1.66,0,1.75043163,2/3/2021,Monteiro T.,,,,
50341,2.5,1,1.750321885,9/26/2019,Bublik A.,,,,
31086,3.01,1,1.75025766,5/29/2012,Paire B.,,,,
52220,1.68,0,1.750217685,2/16/2021,Djokovic N.,,,,
33171,2.7,1,1.749990106,3/15/2013,Del Potro J.M.,,,,
47179,1.42,0,1.749095482,7/21/2018,Johnson S.,,,,
55702,1.66,0,1.748897867,5/28/2022,Medvedev D.,,,,
30957,1.58,0,1.748888753,5/14/2012,Isner J.,,,,
33938,2.37,1,1.748809377,6/24/2013,Hewitt L.,,,,
37263,1.75,0,1.745655189,9/25/2014,Andujar P.,,,,
42466,2.85,1,1.745205744,9/24/2016,Zverev A.,,,,
40423,1.52,0,1.744625727,1/19/2016,Granollers M.,,,,
36985,1.48,0,1.742441601,8/12/2014,Gulbis E.,,,,
53802,1.7,0,1.741738133,8/18/2021,Ruud C.,,,,
51153,1.66,0,1.741496427,2/25/2020,Basilashvili N.,,,,
50472,1.74,0,1.740735719,10/14/2019,Mannarino A.,,,,
36935,2.74,1,1.740547674,8/5/2014,Lopez F.,,,,
47482,2.15,1,1.740184332,8/20/2018,Zeballos H.,,,,
40407,1.55,0,1.739983746,1/19/2016,Hewitt L.,,,,
39030,2.61,1,1.739433177,6/16/2015,Kukushkin M.,,,,
48205,1.83,0,1.736666719,1/10/2019,Simon G.,,,,
49731,1.65,0,1.736266363,7/16/2019,Novak D.,,,,
45545,1.59,0,1.735668213,1/6/2018,Harrison R.,,,,
42799,1.57,0,1.735436563,11/1/2016,Troicki V.,,,,
49343,1.48,0,1.734422735,5/29/2019,Paire B.,,,,
38646,1.6,0,1.733220598,5/1/2015,Cuevas P.,,,,
49842,1.34,0,1.731133735,7/25/2019,Zverev A.,,,,
38853,1.56,0,1.730611533,5/25/2015,Edmund K.,,,,
47406,3.51,1,1.730155987,8/9/2018,Haase R.,,,,
56321,1.43,0,1.729751413,8/10/2022,Fritz T.,,,,
37543,1.48,0,1.729512231,10/27/2014,Sock J.,,,,
41884,2.96,1,1.729265506,7/12/2016,Olivo R.,,,,
48728,1.7,0,1.728639137,3/10/2019,Shapovalov D.,,,,
32865,1.6,0,1.727930728,2/14/2013,Nalbandian D.,,,,
50336,1.55,0,1.727739514,9/26/2019,Carreno Busta P.,,,,
47373,1.68,0,1.727503441,8/6/2018,Fucsovics M.,,,,
37269,2.42,1,1.727405609,9/26/2014,Giraldo S.,,,,
45521,1.6,0,1.726012259,1/3/2018,Gojowczyk P.,,,,
56760,1.54,0,1.725828931,10/8/2022,Djokovic N.,,,,
57043,1.69,0,1.724713496,1/2/2023,Draper J.,,,,
47496,2.58,1,1.724703028,8/21/2018,Carballes Baena R.,,,,
36524,1.54,0,1.723064164,6/24/2014,Istomin D.,,,,
54968,1.42,0,1.722892481,2/24/2022,Hanfmann Y.,,,,
41955,1.78,0,1.722752944,7/18/2016,Munoz De La Nava D.,,,,
33176,1.5,0,1.722429289,3/17/2013,Nadal R.,,,,
41706,1.67,0,1.722339851,6/20/2016,Becker B.,,,,
56095,1.56,0,1.719949935,7/19/2022,Ymer E.,,,,
47293,1.56,0,1.719419785,7/31/2018,Jarry N.,,,,
44515,1.65,0,1.718968621,7/18/2017,Bagnis F.,,,,
49718,2.34,1,1.718206425,7/16/2019,Zverev M.,,,,
48568,1.52,0,1.717336396,2/21/2019,Mcdonald M.,,,,
38016,2.71,1,1.716841723,2/13/2015,Souza J.,,,,
56290,1.58,0,1.716839249,8/9/2022,Norrie C.,,,,
31471,2.67,1,1.716316252,7/10/2012,Odesnik W.,,,,
34307,2.55,1,1.716251171,7/29/2013,Zeballos H.,,,,
40137,2.5,1,1.715601236,10/29/2015,Zverev M.,,,,
47351,2.58,1,1.714036156,8/3/2018,Istomin D.,,,,
44061,2.71,1,1.712931003,5/26/2017,Berdych T.,,,,
50542,1.61,0,1.710235402,10/19/2019,Mannarino A.,,,,
54260,2.53,1,1.709771664,10/25/2021,Murray A.,,,,
34760,1.48,0,1.709333876,9/27/2013,Benneteau J.,,,,
42417,1.65,0,1.709175817,9/19/2016,Benneteau J.,,,,
34418,2.4,1,1.708397412,8/8/2013,Raonic M.,,,,
53264,1.43,0,1.707983305,6/17/2021,Shapovalov D.,,,,
49085,1.59,0,1.707637306,5/1/2019,Fucsovics M.,,,,
52168,2.39,1,1.707497981,2/10/2021,Mannarino A.,,,,
36093,1.73,0,1.70698279,5/8/2014,Berdych T.,,,,
52403,1.56,0,1.706921503,3/10/2021,Rune H.,,,,
47154,1.57,0,1.706675735,7/18/2018,Lajovic D.,,,,
49730,1.65,0,1.703395879,7/16/2019,Sousa J.,,,,
45731,1.53,0,1.703081453,2/5/2018,Travaglia S.,,,,
37432,1.64,0,1.702835839,10/15/2014,Karlovic I.,,,,
33753,1.54,0,1.702586328,5/30/2013,Fognini F.,,,,
39806,2.07,1,1.702473215,9/22/2015,Klizan M.,,,,
49772,2.75,1,1.700617949,7/20/2019,Balazs A.,,,,
52877,1.64,0,1.699234616,5/4/2021,Davidovich Fokina A.,,,,
34111,2.67,1,1.698037758,7/10/2013,Ramos A.,,,,
38505,1.93,0,1.697073357,4/18/2015,Berdych T.,,,,
31157,2.22,1,1.696813889,6/11/2012,Kubot L.,,,,
47727,2.08,1,1.695478232,9/25/2018,Bemelmans R.,,,,
35445,1.72,0,1.695212583,2/15/2014,Fognini F.,,,,
39297,1.43,0,1.695179337,7/21/2015,Bellucci T.,,,,
55459,1.55,0,1.69510055,5/4/2022,Auger-Aliassime F.,,,,
53253,1.68,0,1.693790487,6/15/2021,Humbert U.,,,,
49423,1.59,0,1.693589866,6/11/2019,Kukushkin M.,,,,
50099,2.24,1,1.693286499,8/20/2019,Sandgren T.,,,,
49485,1.41,0,1.692746485,6/19/2019,Del Potro J.M.,,,,
49673,1.52,0,1.689557089,7/5/2019,Bautista Agut R.,,,,
52361,2.07,1,1.688683885,3/6/2021,Rublev A.,,,,
40743,2.83,1,1.688468782,2/21/2016,Querrey S.,,,,
53566,2.37,1,1.687878651,7/20/2021,Mager G.,,,,
37956,2.2,1,1.687608409,2/9/2015,Young D.,,,,
34787,2.44,1,1.686975955,10/8/2013,Seppi A.,,,,
34799,1.72,0,1.686414403,10/9/2013,Mayer F.,,,,
50315,1.67,0,1.686155072,9/24/2019,Murray A.,,,,
36120,2.5,1,1.685991675,5/13/2014,Kohlschreiber P.,,,,
55016,1.52,0,1.685620184,3/11/2022,Martinez P.,,,,
47191,2.27,1,1.684912733,7/23/2018,Kovalik J.,,,,
48889,1.36,0,1.684347931,4/9/2019,Munar J.,,,,
56127,1.53,0,1.68397786,7/23/2022,Berrettini M.,,,,
42496,1.92,0,1.683767769,9/28/2016,Tipsarevic J.,,,,
41982,1.5,0,1.682815194,7/19/2016,Mannarino A.,,,,
45311,2.16,1,1.681741984,10/19/2017,Zverev M.,,,,
41046,2.31,1,1.680997556,4/5/2016,Barton M.,,,,
51644,2.34,1,1.680223339,10/12/2020,Karatsev A.,,,,
53994,1.61,0,1.679753345,9/6/2021,Auger-Aliassime F.,,,,
56541,1.39,0,1.679707244,9/2/2022,Tiafoe F.,,,,
33538,2.73,1,1.679602145,5/8/2013,Anderson K.,,,,
36705,1.72,0,1.678648367,7/15/2014,Rosol L.,,,,
34512,1.46,0,1.678516864,8/20/2013,Monaco J.,,,,
48668,1.66,0,1.67846623,3/1/2019,Isner J.,,,,
30416,2.29,1,1.678201454,3/1/2012,Verdasco F.,,,,
43390,1.81,0,1.678068965,2/28/2017,Berlocq C.,,,,
55007,1.54,0,1.67732027,3/10/2022,Fognini F.,,,,
32833,1.64,0,1.677283466,2/12/2013,Nieminen J.,,,,
