match,PSW,win0,confidence0,date,winner,,,correct pred?,
54354,1.25,0,1.851870732,11/5/2021,Djokovic N.,-1,-50,,
54901,2.64,1,1.850653861,2/19/2022,Millman J.,1.64,82,,
44584,2.71,1,1.850546984,7/25/2017,Monteiro T.,1.71,85.5,,
44513,2.79,1,1.84844206,7/18/2017,Brown D.,1.79,89.5,,
47744,2.34,1,1.847650824,9/27/2018,Ebden M.,1.34,67,,
54105,1.51,0,1.844094566,10/2/2021,Ruud C.,-1,-50,,
57319,1.52,0,1.843736405,2/9/2023,Baez S.,-1,-50,,
52995,1.48,0,1.840259766,5/20/2021,Shapovalov D.,-1,-50,,
47463,2.55,1,1.8389676,8/16/2018,Kyrgios N.,1.55,77.5,,
57079,1.51,0,1.836184537,1/5/2023,Shapovalov D.,-1,-50,,
51022,1.55,0,1.832440689,2/14/2020,Ruud C.,-1,-50,,
47209,1.66,0,1.830581375,7/24/2018,Gasquet R.,-1,-50,,
54195,1.51,0,1.830009577,10/13/2021,Monfils G.,-1,-50,,
56066,1.57,0,1.825666805,7/16/2022,Bublik A.,-1,-50,,
47363,1.63,0,1.824489668,8/4/2018,Zverev A.,-1,-50,,
53525,2.72,1,1.82444708,7/15/2021,Carballes Baena R.,1.72,86,,
50347,1.57,0,1.824332767,9/27/2019,Shapovalov D.,-1,-50,,
45868,1.5,0,1.822260825,2/16/2018,Dimitrov G.,-1,-50,,
54051,2.77,1,1.818796723,9/25/2021,Kwon S.W.,1.77,88.5,,
45115,2.52,1,1.818329827,9/27/2017,Gojowczyk P.,1.52,76,,
52273,2.72,1,1.81556847,2/25/2021,Paire B.,1.72,86,,
47728,1.59,0,1.814995265,9/26/2018,Sousa J.,-1,-50,,
56013,1.47,0,1.814519476,7/6/2022,Nadal R.,-1,-50,,
52836,2.6,1,1.809567598,4/29/2021,Moutet C.,1.6,80,,
43540,1.57,0,1.804993574,3/17/2017,Federer R.,-1,-50,,
54678,1.56,0,1.804626083,2/2/2022,Bublik A.,-1,-50,,
57416,1.64,0,1.803766883,2/17/2023,Medvedev D.,-1,-50,,
52915,1.63,0,1.801401863,5/10/2021,Musetti L.,-1,-50,,
