match,PSW,win0,confidence0,date,winner,pred correct?
35278,1.72,0,1.239223196,1/22/2014,Federer R.,
56965,2.16,0,1.239161472,10/31/2022,Ymer M.,
54231,1.56,1,1.239125764,10/20/2021,Coria F.,
45746,1.69,0,1.239124296,2/6/2018,Khachanov K.,
52345,1.71,0,1.23899526,3/4/2021,Fucsovics M.,
33185,2.16,1,1.238848615,3/20/2013,Llodra M.,
34907,2.23,0,1.238832903,10/21/2013,Bautista R.,
56145,1.97,1,1.238764625,7/25/2022,Millman J.,
30273,1.94,0,1.238746284,2/21/2012,Goffin D.,
34949,2.73,0,1.238555961,10/24/2013,Mathieu P.H.,
46267,1.69,1,1.238511942,4/10/2018,Garcia-Lopez G.,
38629,1.68,1,1.238506494,4/30/2015,Rosol L.,
33830,1.6,1,1.238478048,6/11/2013,Stebe C.M.,
35319,1.81,1,1.238254687,2/5/2014,Garcia-Lopez G.,
30746,1.63,1,1.238165642,4/23/2012,Sousa J.,
54131,1.73,0,1.238147858,10/8/2021,Davidovich Fokina A.,
56333,2.26,1,1.238101594,8/12/2022,Paul T.,
52369,2.19,0,1.23798921,3/8/2021,Bagnis F.,
57439,1.44,1,1.237970928,2/20/2023,Djere L.,
57787,2.2,1,1.237952727,3/23/2023,Djere L.,1.2
55959,1.74,1,1.237946183,6/29/2022,Paul T.,
40669,2.02,1,1.237838281,2/16/2016,Cervantes I.,
41511,1.87,0,1.23780909,5/24/2016,Halys Q.,
53387,1.85,0,1.237788524,6/30/2021,Tiafoe F.,
38528,1.76,1,1.237784248,4/21/2015,Haider-Maurer A.,
56149,1.93,1,1.237746339,7/26/2022,Martinez P.,
41561,1.7,1,1.237690258,5/28/2016,Berdych T.,
36073,1.67,1,1.237637634,5/6/2014,Anderson K.,
51667,1.67,1,1.237606193,10/13/2020,Andujar P.,
35622,1.74,1,1.237463781,3/1/2014,Federer R.,
43334,1.81,0,1.237384423,2/23/2017,Young D.,
38660,2.37,0,1.23736082,5/3/2015,Monaco J.,
30277,1.83,0,1.237281998,2/21/2012,Sweeting R.,
33879,2.19,1,1.237280257,6/17/2013,Verdasco F.,
53438,2,0,1.237214358,7/2/2021,Fucsovics M.,
33112,1.87,0,1.237149392,3/9/2013,Paire B.,
36892,2.93,0,1.237114045,7/31/2014,Young D.,
45611,1.72,1,1.237053742,1/15/2018,Jaziri M.,
34776,1.75,0,1.236981108,10/8/2013,Nishikori K.,
51584,1.73,0,1.236954346,9/30/2020,Travaglia S.,
50502,1.98,0,1.236952791,10/16/2019,Krajinovic F.,
34963,1.78,1,1.236856148,10/27/2013,Del Potro J.M.,
45976,1.9,0,1.236822913,2/25/2018,Tiafoe F.,
30549,1.85,0,1.236798589,3/21/2012,Lacko L.,
31260,1.53,1,1.236756598,6/19/2012,Kubot L.,
37739,2.04,1,1.23659043,1/17/2015,Troicki V.,
49615,1.81,1,1.236574187,7/2/2019,Fucsovics M.,
31935,2.09,1,1.236402287,8/31/2012,Fognini F.,
