match,PSW,win0,confidence0,date,winner,,,
48781,2.21,1,1.815306704,3/20/2019,Tipsarevic J.,1.21,60.5,
50342,2.67,1,1.809758345,9/27/2019,Harris L.,1.67,83.5,
43108,1.54,0,1.809339816,1/26/2017,Federer R.,-1,-50,
54118,2.75,1,1.809044629,10/7/2021,Daniel T.,1.75,87.5,
54406,1.5,0,1.808334622,1/4/2022,Van De Zandschulp B.,-1,-50,
52337,1.54,0,1.807036523,3/3/2021,Khachanov K.,-1,-50,
44624,1.45,0,1.806987085,7/27/2017,Kohlschreiber P.,-1,-50,
56804,1.53,0,1.806917312,10/13/2022,Musetti L.,-1,-50,
44506,1.65,0,1.805022084,7/18/2017,Bagnis F.,-1,-50,
54087,2.52,1,1.797976386,9/30/2021,Giron M.,1.52,76,
56512,2.59,1,1.797548241,8/31/2022,Cachin P.,1.59,79.5,
54835,1.75,0,1.797350899,2/15/2022,Delbonis F.,-1,-50,
47209,1.38,0,1.796367526,7/24/2018,Bedene A.,-1,-50,
47929,1.53,0,1.796032595,10/18/2018,Monfils G.,-1,-50,
54039,2.6,1,1.791962537,9/23/2021,Giron M.,1.6,80,
50340,2.46,1,1.791798543,9/26/2019,Gerasimov E.,1.46,73,
45869,1.5,0,1.79120427,2/16/2018,Dimitrov G.,-1,-50,
55971,1.53,0,1.791190247,6/30/2022,De Minaur A.,-1,-50,
48122,1.6,0,1.790782696,1/2/2019,Paire B.,-1,-50,
55873,2.53,1,1.790086581,6/22/2022,Cressy M.,1.53,76.5,
52664,1.63,0,1.787739764,4/9/2021,Sonego L.,-1,-50,
52414,1.51,0,1.7867815,3/10/2021,Shapovalov D.,-1,-50,
49202,1.53,0,1.785236714,5/16/2019,Federer R.,-1,-50,
48180,2.51,1,1.785194869,1/8/2019,Seppi A.,1.51,75.5,
55869,1.51,0,1.78353454,6/22/2022,Bublik A.,-1,-50,
56441,2.69,1,1.783336527,8/27/2022,Mannarino A.,1.69,84.5,
43530,2.65,1,1.781736949,3/15/2017,Sock J.,1.65,82.5,
49571,1.76,0,1.77807287,6/29/2019,Sonego L.,-1,-50,
52995,2.58,1,1.774364313,5/20/2021,Cuevas P.,1.58,79,
49448,1.61,0,1.7742564,6/14/2019,Gasquet R.,-1,-50,
47266,2.74,1,1.774163034,7/29/2018,Basilashvili N.,1.74,87,
48805,3.05,1,1.773302131,3/21/2019,Lajovic D.,2.05,102.5,
