match,PSW,win0,confidence0,date,winner,underdog,conf1.2+
39811,1.08,1,1.010036224,9/23/2015,Gabashvili T.,,
54734,1.24,1,1.010031779,2/8/2022,Van De Zandschulp B.,,
54762,1.61,1,1.010027035,2/9/2022,Nishioka Y.,,
36568,1.18,1,1.010012256,6/26/2014,Raonic M.,,
46883,4.41,0,1.009993585,6/19/2018,Mayer L.,,
48698,1.95,0,1.009991295,3/8/2019,Popyrin A.,,
39082,1.36,1,1.009983813,6/23/2015,Thiem D.,,
47050,1.38,1,1.009981293,7/4/2018,Medvedev D.,,
53111,1.48,1,1.009979997,5/31/2021,Krajinovic F.,,
44155,1.28,1,1.009974071,6/1/2017,Nishikori K.,,
38355,1.1,1,1.009969879,3/28/2015,Ferrer D.,,
48286,1.24,1,1.009959052,1/16/2019,Khachanov K.,,
34171,1.14,1,1.009955145,7/16/2013,Giraldo S.,,
54604,2.67,0,1.0099353,1/20/2022,Andujar P.,,
49806,1.81,1,1.009908955,7/23/2019,Carreno Busta P.,,
32621,1.08,1,1.009907588,1/14/2013,Querrey S.,,
52586,1.51,1,1.009906715,3/28/2021,Ruusuvuori E.,,
39614,1.14,1,1.009903377,8/21/2015,Federer R.,,
44273,1.44,1,1.009897246,6/20/2017,Zverev M.,,
55282,1.53,1,1.009896394,4/13/2022,Hurkacz H.,,
30041,8.95,0,1.009890424,1/18/2012,Falla A.,,
53357,1.33,1,1.00988291,6/29/2021,Kwon S.W.,,
44909,1.27,1,1.00988236,8/28/2017,Muller G.,,
51547,1.5,1,1.009870316,9/28/2020,Struff J.L.,,
42917,1.73,1,1.009837325,1/6/2017,Paire B.,,
44780,2.66,0,1.009828102,8/9/2017,Monfils G.,,
42528,1.6,1,1.009824553,10/3/2016,Edmund K.,,
33111,2.5,0,1.00982209,3/9/2013,Janowicz J.,,
43305,1.15,1,1.00982084,2/21/2017,Carreno Busta P.,,
51666,1.44,1,1.009814333,10/13/2020,Cecchinato M.,,
49216,5.31,0,1.009811078,5/16/2019,Verdasco F.,,
43115,1.18,1,1.00980013,2/6/2017,Albot R.,,
34766,3.13,0,1.009788222,9/29/2013,Sousa J.,,
42293,1.24,1,1.009776157,8/29/2016,Cuevas P.,,
38778,1.13,1,1.009761404,5/18/2015,Johnson S.,,
54059,2.73,0,1.009732754,9/27/2021,Paire B.,,
44625,1.5,1,1.009729862,7/27/2017,Harrison R.,,
57342,1.82,1,1.009707951,2/11/2023,Coria F.,,
38343,1.33,1,1.009694905,3/27/2015,Tomic B.,,
