match,PSW,win0,confidence0,date,winner,,,correct pred?,,
51507,1.58,0,1.560609894,9/24/2020,Humbert U.,-1,-100,,,
57260,1.64,0,1.558866375,1/22/2023,Korda S.,-1,-100,,-1,-50
48196,2.76,1,1.557777052,1/9/2019,Carreno Busta P.,1.76,176,,,
56804,1.53,0,1.557437358,10/13/2022,Musetti L.,-1,-100,,,
50391,1.53,0,1.556173285,10/2/2019,Murray A.,-1,-100,,,
43338,1.76,0,1.555840766,2/24/2017,Carreno Busta P.,-1,-100,,,
47559,2.29,1,1.554983298,8/28/2018,Ebden M.,1.29,129,,,
48189,2.48,1,1.55461188,1/9/2019,Nishioka Y.,1.48,148,,,
52409,1.51,0,1.552845593,3/10/2021,Shapovalov D.,-1,-100,,,
51066,1.6,0,1.552674135,2/18/2020,Munar J.,-1,-100,,,
54179,1.6,0,1.552300339,10/12/2021,Hurkacz H.,-1,-100,,,
55875,1.6,0,1.552005351,6/22/2022,Tsitsipas S.,-1,-100,,,
44881,1.51,0,1.550942051,8/22/2017,Struff J.L.,-1,-100,,,
46013,2.24,1,1.550679661,2/27/2018,Harrison R.,1.24,124,,,
44363,1.59,0,1.549378878,7/3/2017,Mayer F.,-1,-100,,,
56333,2.59,1,1.548153996,8/12/2022,Carreno Busta P.,1.59,159,,,
53253,1.68,0,1.547064663,6/15/2021,Humbert U.,-1,-100,,,
55165,1.65,0,1.546749008,3/28/2022,Fritz T.,-1,-100,,,
49954,1.62,0,1.54542733,8/2/2019,Fritz T.,-1,-100,,,
43172,1.56,0,1.544975968,2/10/2017,Bautista Agut R.,-1,-100,,,
46537,2.44,1,1.54483784,5/8/2018,Harrison R.,1.44,144,,,
57409,2.46,1,1.543498308,2/16/2023,Mannarino A.,1.46,146,,1.46,73
50324,2.33,1,1.542456807,9/25/2019,Sousa J.,1.33,133,,,
55461,2.55,1,1.542403716,5/4/2022,Musetti L.,1.55,155,,,
45701,1.76,0,1.542107665,1/19/2018,Carreno Busta P.,-1,-100,,,
56823,2.59,1,1.541986596,10/17/2022,Gasquet R.,1.59,159,,,
50336,2.46,1,1.541765282,9/26/2019,Gerasimov E.,1.46,146,,,
44089,1.75,0,1.541120613,5/29/2017,Bolelli S.,-1,-100,,,
48776,1.47,0,1.540700035,3/16/2019,Federer R.,-1,-100,,,
55833,2.49,1,1.540469927,6/18/2022,Hurkacz H.,1.49,149,,,
46104,1.56,0,1.539778977,3/10/2018,Sandgren T.,-1,-100,,,
51510,1.65,0,1.539580035,9/25/2020,Rublev A.,-1,-100,,,
50399,1.62,0,1.538361817,10/3/2019,Isner J.,-1,-100,,,
55286,2.46,1,1.536609654,4/13/2022,Fritz T.,1.46,146,,,
48366,1.52,0,1.534840035,2/5/2019,Carballes Baena R.,-1,-100,,,
43577,2.32,1,1.533285273,3/24/2017,Paire B.,1.32,132,,,
44826,2.32,1,1.532304716,8/15/2017,Ramanathan R.,1.32,132,,,
43872,1.5,0,1.530126038,5/4/2017,Klizan M.,-1,-100,,,
43681,2.26,1,1.529243116,4/14/2017,Coric B.,1.26,126,,,
45955,2.31,1,1.528260152,2/22/2018,Krajinovic F.,1.31,131,,,
52908,1.68,0,1.527909169,5/9/2021,Zverev A.,-1,-100,,,
51104,2.11,1,1.527000864,2/20/2020,Humbert U.,1.11,111,,,
43407,1.56,0,1.525729304,3/1/2017,Thiem D.,-1,-100,,,
52782,1.77,0,1.525399634,4/22/2021,Sinner J.,-1,-100,,,
52847,2.45,1,1.525284925,5/1/2021,Ramos-Vinolas A.,1.45,145,,,
54196,1.58,0,1.524964679,10/13/2021,Hurkacz H.,-1,-100,,,
45444,2.26,1,1.524607394,11/3/2017,Sock J.,1.26,126,,,
52965,1.76,0,1.524049198,5/17/2021,Norrie C.,-1,-100,,,
56185,2.56,1,1.523542114,7/28/2022,Bagnis F.,1.56,156,,,
43208,2.37,1,1.523059966,2/14/2017,Klizan M.,1.37,137,,,
54253,2.1,1,1.522360267,10/23/2021,Karatsev A.,1.1,110,,,
49240,1.51,0,1.522029476,5/21/2019,Dzumhur D.,-1,-100,,,
52197,2.57,1,1.521824645,2/12/2021,Auger-Aliassime F.,1.57,157,,,
56006,1.79,0,1.521573236,7/3/2022,Goffin D.,,,,,
46543,2.16,1,1.521512375,5/8/2018,Shapovalov D.,1.16,116,,,
49649,2.01,1,1.520962166,7/3/2019,Fabbiano T.,1.01,101,,,
49217,1.72,0,1.519838695,5/17/2019,Tsitsipas S.,-1,-100,,,
51912,1.59,0,1.51978989,11/12/2020,Mannarino A.,-1,-100,,,
50148,1.75,0,1.51917679,8/26/2019,Opelka R.,-1,-100,,,
52980,1.5,0,1.51895485,5/18/2021,Fognini F.,-1,-100,,,
57464,1.67,0,1.517113817,2/21/2023,Van De Zandschulp B.,-1,-100,,-1,-50
54895,1.57,0,1.515840534,2/19/2022,Fognini F.,-1,-100,,,
52004,2.31,1,1.515738508,2/1/2021,Chardy J.,1.31,131,,,
51649,2.34,1,1.514913177,10/12/2020,Karatsev A.,1.34,134,,,
43568,1.51,0,1.514267266,3/23/2017,Coric B.,-1,-100,,,
56060,1.61,0,1.514059532,7/15/2022,Kubler J.,-1,-100,,,
48138,1.6,0,1.513724098,1/2/2019,Paire B.,-1,-100,,,
46377,1.6,0,1.513424118,4/23/2018,Cecchinato M.,-1,-100,,,
49423,1.59,0,1.51336965,6/11/2019,Kukushkin M.,-1,-100,,,
56207,1.63,0,1.513226028,7/30/2022,De Minaur A.,-1,-100,,,
50521,1.76,0,1.512251583,10/17/2019,Chardy J.,-1,-100,,,
49507,1.69,0,1.51217151,6/21/2019,Berrettini M.,-1,-100,,,
56335,2.51,1,1.511824697,8/12/2022,Ruud C.,1.51,151,,,
43773,1.61,0,1.511167682,4/25/2017,Dutra Silva R.,-1,-100,,,
